브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
V,24S,VDBR30141,Wear_etc,브라,VDBR30141K0001,110000,200,22000000,16541.353383458645,CQ240300051,KRW,주식회사 디앤시콜렉션,2024-03-06,2.9150375939849624,0.39849624060150374,5.29624060150376,0.5842105263157895,5.920300751879699,0.0,2.1796992481203006,0.8759398496240601,3877.0,530.0,7044.0,777.0,7874.0,0.0,2899.0,1165.0,1759.0977443609022,79.69924812030075,1184.0601503759399,435.9398496240601,175.18796992481202,2339600.0,106000.0,1574800.0,579800.0,233000.0
V,24S,VDDH35941,Outer,반팔다운,VDDH35941K0001,1090000,200,218000000,163909.77443609023,CQ231200729,KRW,㈜원지아이엔씨,2023-12-11,20.178947368421053,0.0,26.921804511278197,1.4007518796992482,41.09398496240601,0.0,13.228571428571428,17.257894736842104,26838.0,0.0,35806.0,1863.0,54655.0,0.0,17594.0,22953.0,9700.300751879699,0.0,8218.796992481202,2645.7142857142853,3451.578947368421,12901400.0,0.0,10931000.0,3518800.0,4590600.0
V,24S,VDDH36041,Outer,반팔다운,VDDH36041K0001,990000,300,297000000,223308.27067669173,CQ240100581,KRW,㈜원지아이엔씨,2024-01-12,18.87669172932331,0.0,25.47218045112782,1.4007518796992482,41.658646616541354,0.0,12.901503759398496,15.780451127819548,25106.0,0.0,33878.0,1863.0,55406.0,0.0,17159.0,20988.0,13724.887218045113,0.0,12497.593984962406,3870.4511278195487,4734.1353383458645,18254100.0,0.0,16621800.0,5147700.0,6296400.0
V,24S,VDDJ36241,Outer,다운점퍼,VDDJ36241K0001,1290000,100,129000000,96992.48120300751,CQ240100311,KRW,원창물산 (주),2024-01-08,43.752631578947366,0.0,30.52857142857143,1.3766917293233083,42.03007518796993,0.0,17.446616541353382,16.96842105263158,58191.0,0.0,40603.0,1831.0,55900.0,0.0,23204.0,22568.0,7565.789473684211,0.0,4203.007518796992,1744.6616541353383,1696.842105263158,10062500.0,0.0,5590000.0,2320400.0,2256800.0
V,24S,VDLG30241,Bottom,레깅스,VDLG30241I0001,250000,20,5000000,3759.3984962406016,CQ240300038,KRW,(주)아이보리,2024-03-05,6.178947368421053,0.0,5.678947368421053,0.762406015037594,16.87669172932331,0.0,4.310526315789474,2.1037593984962406,8218.0,0.0,7553.0,1014.0,22446.0,0.0,5733.0,2798.0,252.406015037594,0.0,337.5338345864662,86.21052631578948,42.07518796992481,335700.0,0.0,448920.0,114660.0,55960.0
V,24S,VDLG30241,Bottom,레깅스,VDLG30241K0001,250000,100,25000000,18796.992481203008,CQ240300034,KRW,(주)아이보리,2024-03-05,6.178947368421053,0.0,5.678947368421053,0.762406015037594,16.87669172932331,0.0,4.310526315789474,2.1037593984962406,8218.0,0.0,7553.0,1014.0,22446.0,0.0,5733.0,2798.0,1262.03007518797,0.0,1687.6691729323309,431.0526315789474,210.37593984962405,1678500.0,0.0,2244600.0,573300.0,279800.0
V,24S,VDLG30241,Bottom,레깅스,VDLG30241K0002,250000,20,5000000,3759.3984962406016,CQ250200264,EUR,Duvetica International S.R.L,2025-02-04,0.0,0.0,0.0,0.0,32.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47622.0,0.0,0.0,0.0,0.0,0.0,642.8,0.0,0.0,0.0,0.0,952440.0,0.0,0.0
V,24S,VDLG30341,Bottom,레깅스,VDLG30341K0001,150000,200,30000000,22556.39097744361,CQ240300050,KRW,주식회사 디앤시콜렉션,2024-03-06,7.66390977443609,3.545112781954887,2.0954887218045113,0.5842105263157895,5.920300751879699,0.0,2.8834586466165413,0.9210526315789473,10193.0,4715.0,2787.0,777.0,7874.0,0.0,3835.0,1225.0,2068.721804511278,709.0225563909775,1184.0601503759399,576.6917293233082,184.21052631578948,2751400.0,943000.0,1574800.0,767000.0,245000.0
V,24S,VDLG30441,Bottom,레깅스,VDLG30441K0001,110000,200,22000000,16541.353383458645,CQ240300049,KRW,주식회사 디앤시콜렉션,2024-03-06,4.3578947368421055,3.556390977443609,2.1488721804511277,0.5842105263157895,5.920300751879699,0.0,2.3977443609022555,0.7586466165413533,5796.0,4730.0,2858.0,777.0,7874.0,0.0,3189.0,1009.0,1418.1954887218044,711.2781954887218,1184.0601503759399,479.5488721804511,151.72932330827066,1886200.0,946000.0,1574800.0,637800.0,201800.0
V,24S,VDMTG0141,Inner,맨투맨,VDMTG0141C0001,119000,438,52122000,39189.47368421053,CQ240101026,KRW,(주)팬코,2024-01-22,8.072180451127819,2.0676691729323307,2.906015037593985,0.5834586466165413,7.059398496240601,0.0,2.412781954887218,0.26090225563909775,10736.0,2750.0,3865.0,776.0,9389.0,0.0,3209.0,347.0,5064.004511278195,905.6390977443608,3092.016541353383,1056.7984962406015,114.27518796992481,6735126.0,1204500.0,4112382.0,1405542.0,151986.0
