브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
I,25F,7ABNB0156,Headwear,비니,7ABNB0156K0001,39000,3000,117000000,88470.14699655194,CQ250502380,KRW,주식회사 오짠,2025-05-29,0.7637386562346647,0.5874912740266652,0.0,0.15758589468009374,3.4973009959705013,0.03455831023686266,0.7271068473835903,0.0,1105.0,850.0,0.0,228.0,5060.0,50.0,1052.0,0.0,2867.6485834548635,1762.4738220799957,10491.902987911504,2181.320542150771,0.0,4149000.0,2550000.0,15180000.0,3156000.0,0.0
I,25F,7ABNB0656,Headwear,비니,7ABNB0656K0001,49000,1000,49000000,37051.60002419696,CQ250502374,KRW,주식회사 오짠,2025-05-29,0.6531520634767043,0.0,0.24881983370541116,0.18730604148379562,4.644636895834341,0.03455831023686266,0.8321641105036529,0.0,945.0,0.0,360.0,271.0,6720.0,50.0,1204.0,0.0,1123.8362489027736,0.0,4644.636895834341,832.1641105036529,0.0,1626000.0,0.0,6720000.0,1204000.0,0.0
I,25F,7ABNB2056,Headwear,비니,7ABNB2056C0001,33000,3684,121572000,91927.28812534027,CQ250502196,KRW,주식회사 조아니트,2025-05-28,0.6572990607051278,0.8418404373699744,1.5074334925319492,0.15896822708956823,1.1749825480533305,0.03455831023686266,0.627578913901426,0.008293994456847038,951.0,1218.0,2181.0,230.0,1700.0,50.0,908.0,12.0,8687.826489635963,3101.3401712709856,4328.635707028469,2312.0007188128534,30.55507557902449,12569808.0,4487112.0,6262800.0,3345072.0,44208.0
I,25F,7ABNB2056,Headwear,비니,7ABNB2056K0001,33000,3500,115500000,87335.91434274998,CQ250502195,KRW,주식회사 조아니트,2025-05-28,0.6572990607051278,0.8418404373699744,1.5074334925319492,0.15896822708956823,1.1749825480533305,0.03455831023686266,0.627578913901426,0.008293994456847038,951.0,1218.0,2181.0,230.0,1700.0,50.0,908.0,12.0,8253.906816972278,2946.4415307949102,4112.438918186656,2196.526198654991,29.028980598964633,11942000.0,4263000.0,5950000.0,3178000.0,42000.0
I,25F,7ABNB2256,Headwear,비니,7ABNB2256K0001,33000,3500,115500000,87335.91434274998,CQ251000069,KRW,주식회사 조아니트,2025-10-10,0.6870192075088297,0.6220495842635279,1.400302730797675,0.15758589468009374,0.9932058362074329,0.03455831023686266,0.5556976286087516,0.007602828252109785,994.0,900.0,2026.0,228.0,1437.0,50.0,804.0,11.0,7978.131501282113,2177.1735449223474,3476.220426726015,1944.9417001306306,26.609898882384247,11543000.0,3150000.0,5029500.0,2814000.0,38500.0
I,25F,7ABNC0156,Headwear,비니,7ABNC0156K0001,49000,1200,58800000,44461.92002903636,CQ250502194,KRW,주식회사 조아니트,2025-05-28,0.9703973514511035,0.3421272713449403,2.129483076795477,0.15965939329430548,1.5205656504219571,0.03455831023686266,0.7443860025020217,0.008293994456847038,1404.0,495.0,3081.0,231.0,2200.0,50.0,1077.0,12.0,3952.9177581332983,410.5527256139284,1824.6787805063486,893.263203002426,9.952793348216446,5719200.0,594000.0,2640000.0,1292400.0,14400.0
I,25F,7ABNC0156,Headwear,비니,7ABNC0156K0002,49000,1620,79380000,60023.59203919908,CQ250900911,KRW,주식회사 조아니트,2025-09-25,0.9703973514511035,0.3421272713449403,2.129483076795477,0.15965939329430548,1.5205656504219571,0.03455831023686266,0.7443860025020217,0.008293994456847038,1404.0,495.0,3081.0,231.0,2200.0,50.0,1077.0,12.0,5336.438973479953,554.2461795788033,2463.3163536835705,1205.905324053275,13.436271020092201,7720920.0,801900.0,3564000.0,1744740.0,19440.0
I,25F,7ABNC0256,Headwear,비니,7ABNC0256C0001,59000,1798,106082000,80214.44558707882,CQ250502386,KRW,주식회사 오짠,2025-05-29,1.0332934760821935,1.9698236835011715,1.1749825480533305,0.15758589468009374,3.2000995279334825,0.03455831023686266,1.1065570937843423,0.0,1495.0,2850.0,1700.0,228.0,4630.0,50.0,1601.0,0.0,4315.955571836359,3541.7429829351063,5753.778951224402,1989.5896546242475,0.0,6244454.0,5124300.0,8324740.0,2878598.0,0.0
I,25F,7ABNC0256,Headwear,비니,7ABNC0256K0001,59000,1500,88500000,66919.72657431492,CQ250502387,KRW,주식회사 오짠,2025-05-29,1.0332934760821935,1.9698236835011715,1.1749825480533305,0.15758589468009374,3.2000995279334825,0.03455831023686266,1.1065570937843423,0.0,1495.0,2850.0,1700.0,228.0,4630.0,50.0,1601.0,0.0,3600.630343578721,2954.7355252517573,4800.149291900224,1659.8356406765135,0.0,5209500.0,4275000.0,6945000.0,2401500.0,0.0
I,25F,7ABNC0256,Headwear,비니,7ABNC0256K0002,59000,1000,59000000,44613.15104954328,CQ251000262,KRW,주식회사 오짠,2025-10-17,1.0332934760821935,1.9698236835011715,1.1749825480533305,0.15758589468009374,3.2000995279334825,0.03455831023686266,1.1065570937843423,0.0,1495.0,2850.0,1700.0,228.0,4630.0,50.0,1601.0,0.0,2400.42022905248,1969.8236835011714,3200.0995279334825,1106.5570937843422,0.0,3473000.0,2850000.0,4630000.0,1601000.0,0.0
