section,key,value
prev_usd_cost_rate,,23.3
prev_krw_cost_rate,,23.3
usd_summary,,25FW_NON 시즌 USD 기준 원가율은 23.3%에서 20.7%로 2.6%p 개선되었습니다. 주요 원인은 재료계 원가율 2.3%p 변동입니다.
krw_summary,,당년 USD 원가율 20.7%에서 환율 0.0% 상승(0→1447원) 효과로 당년 KRW 원가율은 22.7%로 +2.0%p 악화되었습니다.
action_1,,원가 구조 개선: 세부 항목별 원가율 모니터링 강화.
action_2,,소싱 다변화: 공급망 리스크 분산 및 원가 안정성 확보.
risk_1,,환율 변동성: 환율 급변 시 원가율 변동 확대 가능성.
risk_2,,원자재 가격: 글로벌 원자재 시장 불안정성.
success_1,,원가 효율화: USD 기준 원가율 -2.6%p 개선으로 구조적 원가 절감 성과.
success_2,,환율 안정: 환율 변동 +0.0%로 원가율에 미치는 영향 최소화.
action summary,,"주요 액션: 원가 구조 개선, 소싱 다변화"
risk summary,,"주요 리스크: 환율 변동성, 원자재 가격"
success summary,,"성공 포인트: 원가 효율화, 환율 안정"
message,,"25FW_NON 시즌은 USD 기준 2.6%p 개선, KRW 기준 0.6%p 개선되었습니다. 환율 안정이 KRW 원가율에 미치는 영향이 제한적이었습니다. 단기적으로는 세부 항목별 원가 모니터링, 중기적으로는 소싱 다변화와 공임 효율화를 통한 구조적 원가 방어가 필요합니다."
metrics_title,,주요 지표 요약
metrics_volume,,생산 수량은 전시즌 대비 -15.4% 감소했습니다.
metrics_tag,,평균 TAG는 전시즌 대비 -5.3% 하락했습니다.
metrics_fx,,환율은 0원에서 1447원으로 +0.0% 하락했습니다.
metrics_conclusion,,"전체적으로 수량 -15.4% 변동, TAG -5.3% 변동, 원가 -15.9% 변동으로 안정세를 보였습니다."
executive_summary,,"25FW_NON 시즌 원가 분석 결과, USD 기준 원가율은 23.3%에서 20.7%로 2.6%p 개선되었습니다. KRW 기준으로는 0.6%p 개선되었으며, 환율 변동이 영향을 미쳤습니다. 세부 항목별 원가율 모니터링과 구조적 원가 절감 노력이 필요합니다."
