section,key,value
prev_usd_cost_rate,,27.2
prev_krw_cost_rate,,27.6
usd_summary,,25FW 시즌 USD 기준 원가율은 27.2%에서 25.3%로 1.9%p 개선되었습니다. 주요 원인은 재료계 원가율 2.4%p 변동입니다.
krw_summary,,당년 USD 원가율 25.3%에서 환율 7.4% 상승(1347→1446원) 효과로 당년 KRW 원가율은 27.2%로 +1.9%p 악화되었습니다.
action_1,,공임 효율화: 공임 원가율 상승(+1.3%p)으로 봉제 자동화 및 작업공정 단순화 추진.
risk_1,,환율 리스크: 환율 +7.4% 변동(1347→1446원)으로 KRW 원가율 +1.5%p 추가 악화. 기준환율 관리 필요.
success_1,,원가 효율화: USD 기준 원가율 -1.9%p 개선으로 구조적 원가 절감 성과.
action summary,,주요 액션: 공임 효율화
risk summary,,주요 리스크: 환율 리스크
success summary,,성공 포인트: 원가 효율화
message,,"25FW 시즌은 USD 기준 1.9%p 개선, KRW 기준 0.4%p 개선되었습니다. 환율 변동이 KRW 원가율에 영향을 미쳤습니다. 단기적으로는 세부 항목별 원가 모니터링, 중기적으로는 소싱 다변화와 공임 효율화를 통한 구조적 원가 방어가 필요합니다."
metrics_title,,주요 지표 요약
metrics_volume,,생산 수량은 전시즌 대비 -31.2% 감소했습니다.
metrics_tag,,평균 TAG는 전시즌 대비 -14.9% 하락했습니다.
metrics_fx,,환율은 1347원에서 1446원으로 +7.4% 상승했습니다.
metrics_conclusion,,"전체적으로 수량 -31.2% 변동, TAG -14.9% 변동, 원가 -20.8% 변동으로 안정세를 보였습니다."
executive_summary,,"25FW 시즌 원가 분석 결과, USD 기준 원가율은 27.2%에서 25.3%로 1.9%p 개선되었습니다. KRW 기준으로는 0.4%p 개선되었으며, 환율 변동이 영향을 미쳤습니다. 세부 항목별 원가율 모니터링과 구조적 원가 절감 노력이 필요합니다."
