브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
X,25F,DMDJ51056,Outer,다운점퍼,DMDJ51056C0001,259000,1240,321160000,237896.2962962963,CQ250800645,KRW,호전실업(주),2025-08-28,12.21642857142857,0.5828571428571429,12.465714285714286,0.25285714285714284,9.822857142857142,0.0,4.210714285714285,0.5114285714285715,17103.0,816.0,17452.0,354.0,13752.0,0.0,5895.0,716.0,30919.4,722.7428571428571,12180.342857142856,5221.285714285714,634.1714285714286,43287160.0,1011840.0,17052480.0,7309800.0,887840.0
X,25F,DMDJ51056,Outer,다운점퍼,DMDJ51056K0001,259000,2900,751100000,556370.3703703703,CQ250800644,KRW,호전실업(주),2025-08-28,12.21642857142857,0.5828571428571429,12.465714285714286,0.2557142857142857,9.822857142857142,0.0,4.210714285714285,1.0107142857142857,17103.0,816.0,17452.0,358.0,13752.0,0.0,5895.0,1415.0,72319.78571428572,1690.2857142857142,28486.285714285714,12211.071428571428,2931.0714285714284,101247700.0,2366400.0,39880800.0,17095500.0,4103500.0
X,25F,DMDJ53056,Outer,다운점퍼,DMDJ53056K0001,169000,5300,895700000,663481.4814814815,CQ250900162,KRW,주식회사 아라움,2025-09-01,9.467142857142857,0.6871428571428572,9.13642857142857,0.35642857142857143,6.385,0.0,3.0814285714285714,0.7764285714285715,13254.0,962.0,12791.0,499.0,8939.0,0.0,4314.0,1087.0,100488.00000000001,3641.857142857143,33840.5,16331.57142857143,4115.071428571428,140683200.0,5098600.0,47376700.0,22864200.0,5761100.0
X,25F,DMDJ55056,Outer,다운점퍼,DMDJ55056K0001,299000,2800,837200000,620148.1481481482,CQ250900978,KRW,주식회사 아라움,2025-09-29,13.700714285714286,0.8535714285714285,17.60214285714286,0.4107142857142857,7.940714285714286,0.0,4.811428571428571,1.2892857142857144,19181.0,1195.0,24643.0,575.0,11117.0,0.0,6736.0,1805.0,88798.0,2390.0,22234.0,13472.0,3610.0000000000005,124317200.0,3346000.0,31127600.0,18860800.0,5054000.0
X,25F,DMDJ59056,Outer,다운점퍼,DMDJ59056K0001,349000,2300,802700000,594592.5925925926,CQ250900765,KRW,주식회사 아라움,2025-09-23,15.504285714285714,0.6942857142857143,21.950714285714287,0.35642857142857143,9.43,0.0,5.7092857142857145,1.53,21706.0,972.0,30731.0,499.0,13202.0,0.0,7993.0,2142.0,86966.28571428571,1596.857142857143,21689.0,13131.357142857143,3519.0,121752800.0,2235600.0,30364600.0,18383900.0,4926600.0
X,25F,DMDJ5C056,Outer,다운점퍼,DMDJ5C056K0001,399000,2300,917700000,679777.7777777778,CQ250900977,KRW,주식회사 아라움,2025-09-29,17.21142857142857,0.6942857142857143,24.192857142857143,0.35642857142857143,10.422142857142857,0.0,6.302142857142857,1.6885714285714286,24096.0,972.0,33870.0,499.0,14591.0,0.0,8823.0,2364.0,96049.64285714284,1596.857142857143,23970.928571428572,14494.92857142857,3883.714285714286,134469500.0,2235600.0,33559300.0,20292900.0,5437200.0
X,25F,DMDJ5K056,Outer,다운점퍼,DMDJ5K056C0001,319000,1540,491260000,363896.2962962963,CQ250900670,KRW,티피나디아(주),2025-09-16,17.24,1.2028571428571428,21.234285714285715,0.2957142857142857,9.231428571428571,0.0,5.869285714285715,1.505,24136.0,1684.0,29728.0,414.0,12924.0,0.0,8217.0,2107.0,59705.799999999996,1852.4,14216.4,9038.7,2317.7,83588120.0,2593360.0,19902960.0,12654180.0,3244780.0
X,25F,DMDJ5K056,Outer,다운점퍼,DMDJ5K056D0001,319000,99,31581000,23393.333333333332,CQ250900669,KRW,티피나디아(주),2025-09-16,17.242857142857144,1.1985714285714286,21.127857142857142,0.2957142857142857,9.231428571428571,0.0,5.856428571428571,2.275714285714286,24140.0,1678.0,29579.0,414.0,12924.0,0.0,8199.0,3186.0,3827.976428571429,118.65857142857143,913.9114285714286,579.7864285714286,225.2957142857143,5359167.0,166122.0,1279476.0,811701.0,315414.0
X,25F,DMDJ5K056,Outer,다운점퍼,DMDJ5K056K0001,319000,5200,1658800000,1228740.7407407407,CQ250900667,KRW,티피나디아(주),2025-09-16,16.22142857142857,1.0978571428571429,21.150714285714287,0.2957142857142857,9.231428571428571,0.0,5.724285714285714,1.5214285714285714,22710.0,1537.0,29611.0,414.0,12924.0,0.0,8014.0,2130.0,195872.85714285713,5708.857142857143,48003.42857142857,29766.285714285714,7911.428571428571,274222000.0,7992400.0,67204800.0,41672800.0,11076000.0
X,25F,DMDJ5K056,Outer,다운점퍼,DMDJ5K056K0002,319000,430,137170000,101607.4074074074,CQ250900668,KRW,티피나디아(주),2025-09-16,17.240714285714287,1.1992857142857143,21.234285714285715,0.2957142857142857,9.231428571428571,0.0,5.868571428571428,2.28,24137.0,1679.0,29728.0,414.0,12924.0,0.0,8216.0,3192.0,16671.407142857144,515.6928571428572,3969.5142857142855,2523.485714285714,980.3999999999999,23339970.0,721970.0,5557320.0,3532880.0,1372560.0
