브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,합의납기일,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
X,전년(25N),DKBK1105N,,백팩,DKBK1105NK0001,149000,4000,596000000,441481.48148148146,CQ241000906,KRW,주식회사 제이엠플레닝,2024-10-16,2024-11-07,6.390370370370371,0.5925925925925926,5.806666666666667,0.29777777777777775,6.355555555555555,0.0,2.8718518518518517,1.4474074074074075,8627.0,800.0,7839.0,402.0,8580.0,0.0,3877.0,1954.0,49979.25925925926,2370.3703703703704,25422.222222222223,11487.407407407407,5789.62962962963,67472000.0,3200000.0,34320000.0,15508000.0,7816000.0
X,전년(25N),DKBK1205N,,백팩,DKBK1205NK0001,149000,1300,193700000,143481.4814814815,CQ241001934,KRW,주식회사 제이엠플레닝,2024-10-29,2024-11-07,6.557037037037037,0.6296296296296297,6.194814814814815,0.29777777777777775,6.692592592592592,0.0,3.011111111111111,1.5051851851851852,8852.0,850.0,8363.0,402.0,9035.0,0.0,4065.0,2032.0,16964.51851851852,818.5185185185185,8700.37037037037,3914.4444444444443,1956.7407407407406,22902100.0,1105000.0,11745500.0,5284500.0,2641600.0
X,전년(25N),DKBK1305N,,백팩,DKBK1305NK0001,149000,1300,193700000,143481.4814814815,CQ241001935,KRW,주식회사 제이엠플레닝,2024-10-29,2024-11-07,7.217037037037037,0.6296296296296297,5.957777777777777,0.29777777777777775,6.374074074074074,0.0,3.026666666666667,1.5333333333333334,9743.0,850.0,8043.0,402.0,8605.0,0.0,4086.0,2070.0,17514.37037037037,818.5185185185185,8286.296296296296,3934.6666666666665,1993.3333333333333,23644400.0,1105000.0,11186500.0,5311800.0,2691000.0
X,전년(25N),DKBK3105N,,백팩,DKBK3105NK0001,149000,7000,1043000000,772592.5925925926,CQ241001003,KRW,(주)케이앤씨인터내셔날,2024-10-18,2024-11-07,5.955555555555556,0.5925925925925926,6.954814814814815,0.29777777777777775,6.666666666666667,0.0,3.025185185185185,0.9518518518518518,8040.0,800.0,9389.0,402.0,9000.0,0.0,4084.0,1285.0,92457.03703703704,4148.148148148148,46666.666666666664,21176.296296296296,6662.962962962963,124817000.0,5600000.0,63000000.0,28588000.0,8995000.0
X,전년(25N),DKBK3205N,,백팩,DKBK3205NK0001,139000,4500,625500000,463333.3333333333,CQ241001004,KRW,(주)케이앤씨인터내셔날,2024-10-18,2024-11-07,5.651851851851852,0.5925925925925926,6.5814814814814815,0.29777777777777775,6.481481481481482,0.0,2.8962962962962964,0.9059259259259259,7630.0,800.0,8885.0,402.0,8750.0,0.0,3910.0,1223.0,56390.0,2666.6666666666665,29166.666666666668,13033.333333333334,4076.6666666666665,76126500.0,3600000.0,39375000.0,17595000.0,5503500.0
X,전년(25N),DKTG1105N,,토드백,DKTG1105NK0001,49000,3800,186200000,137925.92592592593,CQ241000910,KRW,주식회사 제이엠플레닝,2024-10-16,2024-11-07,2.251851851851852,0.5925925925925926,1.0022222222222221,0.29777777777777775,1.737037037037037,0.0,0.8377777777777777,0.4874074074074074,3040.0,800.0,1353.0,402.0,2345.0,0.0,1131.0,658.0,13497.037037037036,2251.8518518518517,6600.740740740741,3183.5555555555557,1852.148148148148,18221000.0,3040000.0,8911000.0,4297800.0,2500400.0
X,전년(25N),DKTG1205N,,토드백,DKTG1205NK0001,49000,1600,78400000,58074.07407407407,CQ241000901,KRW,주식회사 제이엠플레닝,2024-10-16,2024-11-07,2.502962962962963,0.5925925925925926,1.2637037037037038,0.29777777777777775,1.5666666666666667,0.0,0.8888888888888888,0.5162962962962963,3379.0,800.0,1706.0,402.0,2115.0,0.0,1200.0,697.0,6503.111111111111,948.1481481481482,2506.6666666666665,1422.2222222222222,826.074074074074,8779200.0,1280000.0,3384000.0,1920000.0,1115200.0
X,전년(25N),DKTG3105N,,토드백,DKTG3105NK0001,45000,1600,72000000,53333.333333333336,CQ241001005,KRW,(주)케이앤씨인터내셔날,2024-10-18,2024-11-07,1.8466666666666667,0.4444444444444444,0.9874074074074074,0.29777777777777775,1.962962962962963,0.0,0.7859259259259259,0.43037037037037035,2493.0,600.0,1333.0,402.0,2650.0,0.0,1061.0,581.0,5010.962962962963,711.1111111111111,3140.740740740741,1257.4814814814815,688.5925925925926,6764800.0,960000.0,4240000.0,1697600.0,929600.0
X,전년(25N),DKTG3205N,,토드백,DKTG3205NK0001,39000,5000,195000000,144444.44444444444,CQ241001006,KRW,(주)케이앤씨인터내셔날,2024-10-18,2024-11-07,1.8696296296296295,0.4444444444444444,0.9503703703703704,0.29777777777777775,1.9259259259259258,0.0,0.5192592592592593,0.362962962962963,2524.0,600.0,1283.0,402.0,2600.0,0.0,701.0,490.0,15588.888888888889,2222.222222222222,9629.62962962963,2596.296296296296,1814.8148148148148,21045000.0,3000000.0,13000000.0,3505000.0,2450000.0
X,전년(25N),DXBK0015N,,백팩,DXBK0015NK0001,179000,15200,2720800000,2015407.4074074074,CQ241002024,KRW,(주)인투잇,2024-10-31,2024-11-04,8.974074074074075,1.037037037037037,9.384444444444444,0.29777777777777775,8.89037037037037,0.0,0.2548148148148148,1.3118518518518518,12115.0,1400.0,12669.0,402.0,12002.0,0.0,344.0,1771.0,283575.7037037037,15762.962962962964,135133.62962962964,3873.185185185185,19940.14814814815,382827200.0,21280000.0,182430400.0,5228800.0,26919200.0
X,전년(25N),DXBK0015N,,백팩,DXBK0015NK0002,179000,455,81445000,60329.62962962963,CQ241002025,KRW,(주)인투잇,2024-10-31,2024-11-04,8.974074074074075,1.037037037037037,9.384444444444444,0.29777777777777775,8.89037037037037,0.0,0.2548148148148148,1.3118518518518518,12115.0,1400.0,12669.0,402.0,12002.0,0.0,344.0,1771.0,8488.614814814815,471.85185185185185,4045.1185185185186,115.94074074074074,596.8925925925926,11459630.0,637000.0,5460910.0,156520.0,805805.0
X,전년(25N),DXBK0025N,,백팩,DXBK0025NK0001,169000,13500,2281500000,1690000.0,CQ241002026,KRW,(주)인투잇,2024-10-31,2024-11-04,7.7807407407407405,0.8148148148148148,10.327407407407408,0.29777777777777775,7.7407407407407405,0.0,0.18666666666666668,1.297037037037037,10504.0,1100.0,13942.0,402.0,10450.0,0.0,252.0,1751.0,248480.0,11000.0,104500.0,2520.0,17510.0,335448000.0,14850000.0,141075000.0,3402000.0,23638500.0
X,전년(25N),DXBK0025N,,백팩,DXBK0025NK0002,169000,405,68445000,50700.0,CQ241002027,KRW,(주)인투잇,2024-10-31,2024-11-04,7.7807407407407405,0.8148148148148148,10.327407407407408,0.29777777777777775,7.7407407407407405,0.0,0.18666666666666668,1.297037037037037,10504.0,1100.0,13942.0,402.0,10450.0,0.0,252.0,1751.0,7454.4,330.0,3135.0,75.6,525.3,10063440.0,445500.0,4232250.0,102060.0,709155.0
X,전년(25N),DXBK0035N,,백팩,DXBK0035NK0001,169000,20000,3380000000,2503703.703703704,CQ241001018,KRW,(주)케이앤씨인터내셔날,2024-10-18,2024-11-04,6.948888888888889,0.8518518518518519,7.627407407407407,0.29777777777777775,6.37037037037037,0.0,2.8555555555555556,1.0851851851851853,9381.0,1150.0,10297.0,402.0,8600.0,0.0,3855.0,1465.0,297481.48148148146,17037.037037037036,127407.4074074074,57111.11111111111,21703.703703703704,401600000.0,23000000.0,172000000.0,77100000.0,29300000.0
X,전년(25N),DXBK0035N,,백팩,DXBK0035NK0002,169000,605,102245000,75737.03703703704,CQ241001020,KRW,(주)케이앤씨인터내셔날,2024-10-18,2024-11-04,6.948888888888889,0.8518518518518519,7.627407407407407,0.29777777777777775,6.37037037037037,0.0,2.8555555555555556,1.0851851851851853,9381.0,1150.0,10297.0,402.0,8600.0,0.0,3855.0,1465.0,8998.814814814816,515.3703703703703,3854.074074074074,1727.611111111111,656.5370370370371,12148400.0,695750.0,5203000.0,2332275.0,886325.0
X,전년(25N),DXBK0045N,,백팩,DXBK0045NK0001,169000,8000,1352000000,1001481.4814814815,CQ241000980,KRW,(주)인투잇,2024-10-17,2024-11-04,8.09851851851852,0.9629629629629629,8.602222222222222,0.29777777777777775,8.460740740740741,0.0,0.8096296296296296,1.2125925925925927,10933.0,1300.0,11613.0,402.0,11422.0,0.0,1093.0,1637.0,135988.14814814815,7703.7037037037035,67685.92592592593,6477.037037037037,9700.74074074074,183584000.0,10400000.0,91376000.0,8744000.0,13096000.0
X,전년(25N),DXBK0045N,,백팩,DXBK0045NK0002,169000,240,40560000,30044.444444444445,CQ241000982,KRW,(주)인투잇,2024-10-17,2024-11-04,8.09851851851852,0.9629629629629629,8.602222222222222,0.29777777777777775,8.460740740740741,0.0,0.8096296296296296,1.2125925925925927,10933.0,1300.0,11613.0,402.0,11422.0,0.0,1093.0,1637.0,4079.6444444444446,231.11111111111111,2030.5777777777778,194.3111111111111,291.02222222222224,5507520.0,312000.0,2741280.0,262320.0,392880.0
X,전년(25N),DXBK0075N,,백팩,DXBK0075NK0001,169000,16000,2704000000,2002962.962962963,CQ241001019,KRW,(주)케이앤씨인터내셔날,2024-10-18,2024-11-04,6.376296296296296,0.8518518518518519,8.137037037037038,0.29777777777777775,6.37037037037037,0.0,2.825925925925926,1.0666666666666667,8608.0,1150.0,10985.0,402.0,8600.0,0.0,3815.0,1440.0,236977.77777777778,13629.62962962963,101925.92592592593,45214.81481481482,17066.666666666668,319920000.0,18400000.0,137600000.0,61040000.0,23040000.0
X,전년(25N),DXBK0075N,,백팩,DXBK0075NK0002,169000,480,81120000,60088.88888888889,CQ241001021,KRW,(주)케이앤씨인터내셔날,2024-10-18,2024-11-04,6.376296296296296,0.8518518518518519,8.137037037037038,0.29777777777777775,6.37037037037037,0.0,2.825925925925926,1.0666666666666667,8608.0,1150.0,10985.0,402.0,8600.0,0.0,3815.0,1440.0,7109.333333333333,408.8888888888889,3057.777777777778,1356.4444444444443,512.0,9597600.0,552000.0,4128000.0,1831200.0,691200.0
