브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
X,25F,DKAZ11054,Wear_etc,상하의 세트,DKAZ11054K0001,129000,2500,322500000,238888.88888888888,CQ250700629,KRW,주식회사 에이치에스소싱,2025-07-23,6.288571428571428,1.9285714285714286,1.1128571428571428,0.37285714285714283,3.124285714285714,0.0,1.4942857142857142,0.3292857142857143,8804.0,2700.0,1558.0,522.0,4374.0,0.0,2092.0,461.0,19435.714285714286,4821.428571428572,7810.714285714285,3735.7142857142853,823.2142857142858,27210000.0,6750000.0,10935000.0,5230000.0,1152500.0
X,25F,DKAZ12054,Wear_etc,상하의 세트,DKAZ12054K0001,129000,2200,283800000,210222.22222222222,CQ250900683,KRW,대원에프앤드씨 (주),2025-09-16,6.810714285714286,1.9714285714285715,1.1321428571428571,0.29714285714285715,5.161428571428571,0.0,1.8092857142857144,1.0514285714285714,9535.0,2760.0,1585.0,416.0,7226.0,0.0,2533.0,1472.0,18128.0,4337.142857142858,11355.142857142857,3980.4285714285716,2313.142857142857,25379200.0,6072000.0,15897200.0,5572600.0,3238400.0
X,25F,DKAZ21054,Wear_etc,상하의 세트,DKAZ21054K0001,149000,2000,298000000,220740.74074074073,CQ250900001,KRW,꼼드감므(주),2025-09-01,7.347142857142857,0.2914285714285714,4.6778571428571425,0.42642857142857143,10.805,0.0,2.7742857142857145,1.8235714285714286,10286.0,408.0,6549.0,597.0,15127.0,0.0,3884.0,2553.0,24902.85714285714,582.8571428571429,21610.0,5548.571428571429,3647.1428571428573,34864000.0,816000.0,30254000.0,7768000.0,5106000.0
X,25F,DKAZ51056,Wear_etc,상하의 세트,DKAZ51056K0001,139000,1600,222400000,164740.74074074073,CQ250700487,KRW,티피나디아(주),2025-07-16,7.632857142857143,0.5828571428571429,2.8364285714285713,0.3871428571428571,6.835,0.0,2.1464285714285714,0.45357142857142857,10686.0,816.0,3971.0,542.0,9569.0,0.0,3005.0,635.0,17370.285714285714,932.5714285714286,10936.0,3434.285714285714,725.7142857142857,24318400.0,1305600.0,15310400.0,4808000.0,1016000.0
X,25F,DKDJ52056,Outer,다운점퍼,DKDJ52056K0001,189000,1400,264600000,196000.0,CQ250900455,KRW,(주) 엠에스디엔엠,2025-09-09,15.877857142857144,0.0,8.30642857142857,0.23142857142857143,10.9,0.0,4.21,0.9878571428571429,22229.0,0.0,11629.0,324.0,15260.0,0.0,5894.0,1383.0,34182.0,0.0,15260.0,5894.0,1383.0,47854800.0,0.0,21364000.0,8251600.0,1936200.0
X,25F,DKDJ53056,Outer,다운점퍼,DKDJ53056K0001,279000,4000,1116000000,826666.6666666666,CQ250900737,KRW,주식회사 아라움,2025-09-19,9.060714285714285,0.25,25.050714285714285,0.35642857142857143,7.940714285714286,0.0,5.076428571428571,1.0378571428571428,12685.0,350.0,35071.0,499.0,11117.0,0.0,7107.0,1453.0,137871.42857142858,1000.0,31762.857142857145,20305.714285714283,4151.428571428572,193020000.0,1400000.0,44468000.0,28428000.0,5812000.0
X,25F,DKDJ54056,Outer,다운점퍼,DKDJ54056K0001,239000,5000,1195000000,885185.1851851852,CQ250900561,KRW,주식회사 아라움,2025-09-12,8.692857142857143,0.25,14.477142857142857,0.35642857142857143,7.940714285714286,0.0,3.763571428571429,0.9585714285714285,12170.0,350.0,20268.0,499.0,11117.0,0.0,5269.0,1342.0,117632.14285714286,1250.0,39703.57142857143,18817.857142857145,4792.857142857142,164685000.0,1750000.0,55585000.0,26345000.0,6710000.0
X,25F,DKDJ55056,Outer,다운점퍼,DKDJ55056K0001,269000,1300,349700000,259037.03703703705,CQ250800475,KRW,(주)아이보리,2025-08-22,17.835714285714285,0.4007142857142857,10.998571428571429,0.32785714285714285,8.840714285714286,0.0,4.569285714285714,1.1828571428571428,24970.0,561.0,15398.0,459.0,12377.0,0.0,6397.0,1656.0,37910.78571428572,520.9285714285714,11492.928571428572,5940.071428571428,1537.7142857142858,53075100.0,729300.0,16090100.0,8316100.0,2152800.0
X,25F,DKDJ55056,Outer,다운점퍼,DKDJ55056K0002,269000,1200,322800000,239111.11111111112,CQ250800476,KRW,(주)아이보리,2025-08-22,17.764285714285716,0.4007142857142857,10.862142857142857,0.32785714285714285,8.840714285714286,0.0,4.5442857142857145,1.5514285714285714,24870.0,561.0,15207.0,459.0,12377.0,0.0,6362.0,2172.0,34745.14285714286,480.85714285714283,10608.857142857143,5453.142857142858,1861.7142857142856,48643200.0,673200.0,14852400.0,7634400.0,2606400.0
X,25F,DKDJ56056,Outer,다운점퍼,DKDJ56056K0001,249000,2400,597600000,442666.6666666667,CQ250800466,KRW,(주)엠에스에이,2025-08-22,7.712857142857143,0.35714285714285715,13.539285714285715,0.31,9.822857142857142,0.0,3.7721428571428572,0.8778571428571429,10798.0,500.0,18955.0,434.0,13752.0,0.0,5281.0,1229.0,51749.142857142855,857.1428571428571,23574.85714285714,9053.142857142857,2106.857142857143,72448800.0,1200000.0,33004800.0,12674400.0,2949600.0
