section,key,value
prev_usd_cost_rate,,23.3
prev_krw_cost_rate,,23.3
usd_summary,,25FW 시즌 USD 기준 원가율은 23.3%에서 23.6%로 +0.3%p 악화되었습니다. 주요 원인은 재료계 원가율 +0.6%p 변동입니다.
krw_summary,,당년 USD 원가율 23.6%에서 환율 3.7% 상승(1350→1400원) 효과로 당년 KRW 원가율은 24.5%로 +0.9%p 악화되었습니다.
action_1,,소재비 절감: 원자재 단가 상승(+0.6%p)으로 소재 사양 재검토 및 대체소재 전환 검토 필요.
risk_1,,환율 리스크: 환율 +3.7% 변동(1350→1400원)으로 KRW 원가율 +0.9%p 추가 악화. 기준환율 관리 필요.
risk_2,,원자재 리스크: 글로벌 소재 단가 상승으로 원자재 원가율 +0.6%p 상승.
success_1,,원가 구조: 세부 항목별 원가율 모니터링 체계 구축.
success_2,,공급망 안정성: 장기계약 및 소싱 다변화로 원가 안정성 확보.
action summary,,주요 액션: 소재비 절감
risk summary,,"주요 리스크: 환율 리스크, 원자재 리스크"
success summary,,"성공 포인트: 원가 구조, 공급망 안정성"
message,,"25FW 시즌은 USD 기준 +0.3%p 악화, KRW 기준 +1.2%p 악화되었습니다. 환율 변동이 KRW 원가율에 영향을 미쳤습니다. 단기적으로는 세부 항목별 원가 모니터링, 중기적으로는 소싱 다변화와 공임 효율화를 통한 구조적 원가 방어가 필요합니다."
metrics_title,,주요 지표 요약
metrics_volume,,생산 수량은 전시즌 대비 +16.0% 증가했습니다.
metrics_tag,,평균 TAG는 전시즌 대비 -0.2% 하락했습니다.
metrics_fx,,환율은 1350원에서 1400원으로 +3.7% 상승했습니다.
metrics_conclusion,,"전체적으로 수량 +16.0% 변동, TAG -0.2% 변동, 원가 +1.4% 변동으로 안정세를 보였습니다."
executive_summary,,"25FW 시즌 원가 분석 결과, USD 기준 원가율은 23.3%에서 23.6%로 +0.3%p 악화되었습니다. KRW 기준으로는 +1.2%p 악화되었으며, 환율 변동이 영향을 미쳤습니다. 세부 항목별 원가율 모니터링과 구조적 원가 절감 노력이 필요합니다."
