브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
I,25S,7ACP66053,Headwear,운동모,7ACP66053C0001,43000,470,20210000,15513.099012104976,CQ241101439,KRW,㈜유풍,2024-11-21,1.1871035401903736,0.5571375510709422,0.6277811359779767,0.2498015425063179,1.3618917915067477,0.03641421902424459,0.5600506885928818,0.11579721649709779,1630.0,765.0,862.0,343.0,1870.0,50.0,769.0,159.0,987.5172057184889,261.85464900334284,640.0891420081714,263.22382363865444,54.42469175363596,1355950.0,359550.0,878900.0,361430.0,74730.0
I,25S,7ACP66053,Headwear,운동모,7ACP66053K0001,43000,2110,90730000,69643.9125862585,CQ241101440,KRW,㈜유풍,2024-11-21,1.1871035401903736,0.5571375510709422,0.6277811359779767,0.2498015425063179,1.3618917915067477,0.03641421902424459,0.5600506885928818,0.11579721649709779,1630.0,765.0,862.0,343.0,1870.0,50.0,769.0,159.0,4433.321923544706,1175.560232759688,2873.5916800792374,1181.7069529309806,244.33212680887632,6087350.0,1614150.0,3945700.0,1622590.0,335490.0
I,25S,7ACP66053,Headwear,운동모,7ACP66053K0002,43000,1400,60200000,46209.23109988716,CQ250300371,KRW,㈜유풍,2025-03-20,1.1871035401903736,0.5571375510709422,0.6277811359779767,0.2498015425063179,1.3618917915067477,0.03641421902424459,0.5600506885928818,0.11579721649709779,1630.0,765.0,862.0,343.0,1870.0,50.0,769.0,159.0,2941.5406127784777,779.9925714993191,1906.6485081094468,784.0709640300345,162.1161030959369,4039000.0,1071000.0,2618000.0,1076600.0,222600.0
I,25S,7ACP77053,Headwear,운동모,7ACP77053C0001,43000,798,34314000,26339.261726935685,CQ241101449,KRW,㈜유풍,2024-11-20,0.8520927251673234,0.5425718634612444,0.6277811359779767,0.2308661486137107,1.4565687609697835,0.03641421902424459,0.5221799008076674,0.14420030733600858,1170.0,745.0,862.0,317.0,2000.0,50.0,717.0,198.0,1394.2290745690377,432.97234704207307,1162.3418712538871,416.6995608445186,115.07184525413484,1914402.0,594510.0,1596000.0,572166.0,158004.0
I,25S,7ACP77053,Headwear,운동모,7ACP77053K0001,43000,3780,162540000,124764.92396969534,CQ241101448,KRW,㈜유풍,2024-11-20,0.8520927251673234,0.5425718634612444,0.6277811359779767,0.2308661486137107,1.4565687609697835,0.03641421902424459,0.5221799008076674,0.14420030733600858,1170.0,745.0,862.0,317.0,2000.0,50.0,717.0,198.0,6604.242984800705,2050.9216438835037,5505.829916465782,1973.8400250529828,545.0771617301125,9068220.0,2816100.0,7560000.0,2710260.0,748440.0
I,25S,7ACP77053,Headwear,운동모,7ACP77053K0002,43000,1340,57620000,44228.83548132057,CQ250300372,KRW,㈜유풍,2025-03-20,0.8520927251673234,0.5425718634612444,0.6277811359779767,0.2308661486137107,1.4565687609697835,0.03641421902424459,0.5221799008076674,0.14420030733600858,1170.0,745.0,862.0,317.0,2000.0,50.0,717.0,198.0,2341.186666569562,727.0462970380676,1951.8021396995098,699.7210670822743,193.2284118302515,3214660.0,998300.0,2680000.0,960780.0,265320.0
I,25S,7ACP85V53,Headwear,운동모,7ACP85V53K0001,49000,2000,98000000,75224.32969749073,CQ250101154,KRW,㈜유풍,2025-01-24,1.5111900895061505,1.4259808169894181,0.7552309025628328,0.25125811126728764,1.5293971990182726,0.03641421902424459,0.7836339934017436,0.13837403229212944,2075.0,1958.0,1037.0,345.0,2100.0,50.0,1076.0,190.0,5108.1866447210305,2851.9616339788363,3058.7943980365453,1567.267986803487,276.7480645842589,7014000.0,3916000.0,4200000.0,2152000.0,380000.0
I,25S,7ACPB0153,Headwear,운동모,7ACPB0153K0001,53000,900,47700000,36614.29108745212,CQ241001641,KRW,주식회사 이든메이드,2024-10-26,1.4019474324334167,1.6750540751152512,0.6722064831875552,0.23669242365758983,1.7478825131637403,0.03641421902424459,0.32991282435965597,0.12744976658485607,1925.0,2300.0,923.0,325.0,2400.0,50.0,453.0,175.0,2112.5345024725257,1507.548667603726,1573.0942618473664,296.92154192369037,114.70478992637047,2900700.0,2070000.0,2160000.0,407700.0,157500.0
I,25S,7ACPB0253,Headwear,운동모,7ACPB0253K0001,59000,600,35400000,27172.87011521604,CQ241200170,KRW,주식회사 이든메이드,2024-12-02,2.5854095507213657,1.3036290410679563,1.1164599552833392,0.21120247034061862,3.4957650263274807,0.03641421902424459,1.2752259502290455,0.20610447967722437,3550.0,1790.0,1533.0,290.0,4800.0,50.0,1751.0,283.0,2369.691717221741,782.1774246407738,2097.4590157964885,765.1355701374273,123.66268780633462,3253800.0,1074000.0,2880000.0,1050600.0,169800.0
I,25S,7ACPB0353,Headwear,운동모,7ACPB0353K0001,49000,2500,122500000,94030.41212186341,CQ250300243,KRW,㈜유풍,2025-03-12,1.245366290629165,1.1514176055466139,1.6481075530373102,0.2498015425063179,1.4565687609697835,0.03641421902424459,0.8251462030893824,0.1696902606529798,1710.0,1581.0,2263.0,343.0,2000.0,50.0,1133.0,233.0,7949.224012992594,2878.544013866535,3641.421902424459,2062.8655077234557,424.22565163244946,10915000.0,3952500.0,5000000.0,2832500.0,582500.0
