브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
M,25S,3ABNB0153,Headwear,비니,3ABNB0153G0001,39000,330,12870000,9900.0,CQ250900407,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-09-05,0.6740664510438106,0.7394883857688914,0.07497794766245222,0.14628050573360776,1.509850044104675,0.03675389591296677,0.44986768597471327,0.10511614231108497,917.0,1006.0,102.0,199.0,2054.0,50.0,612.0,143.0,307.5860041164363,244.03116730373418,498.25051455454275,148.45633637165537,34.68832696265804,418440.0,331980.0,677820.0,201960.0,47190.0
M,25S,3ABNB0153,Headwear,비니,3ABNB0153K0001,39000,3200,124800000,96000.0,CQ250200894,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-02-26,0.6740664510438106,0.7394883857688914,0.07497794766245222,0.14628050573360776,1.509850044104675,0.03675389591296677,0.44986768597471327,0.10511614231108497,917.0,1006.0,102.0,199.0,2054.0,50.0,612.0,143.0,2982.6521611290796,2366.3628344604526,4831.52014113496,1439.5765951190824,336.3716553954719,4057600.0,3219200.0,6572800.0,1958400.0,457600.0
M,25S,3ABNB0153,Headwear,비니,3ABNB0153K0002,39000,1300,50700000,39000.0,CQ250400870,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-04-17,0.6740664510438106,0.7394883857688914,0.07497794766245222,0.14628050573360776,1.509850044104675,0.03675389591296677,0.44986768597471327,0.10511614231108497,917.0,1006.0,102.0,199.0,2054.0,50.0,612.0,143.0,1211.7024404586884,961.3349014995589,1962.8050573360774,584.8279917671273,136.65098500441047,1648400.0,1307800.0,2670200.0,795600.0,185900.0
M,25S,3ABNB0153,Headwear,비니,3ABNB0153K0003,39000,1500,58500000,45000.0,CQ250500508,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-05-12,0.6740664510438106,0.7394883857688914,0.07497794766245222,0.14628050573360776,1.509850044104675,0.03675389591296677,0.44986768597471327,0.10511614231108497,917.0,1006.0,102.0,199.0,2054.0,50.0,612.0,143.0,1398.118200529256,1109.2325786533372,2264.7750661570126,674.8015289620699,157.67421346662746,1902000.0,1509000.0,3081000.0,918000.0,214500.0
M,25S,3ADKM0251,Outer,진자켓,3ADKM0251C0001,269000,180,48420000,37246.153846153844,CQ241001443,USD,"HONGKONG KING TIDE FASHION CO.,LIMITED",2024-10-24,10.120552778594531,0.7196412819758894,4.708174066451043,0.17347838870920315,12.000147015583652,0.08820935019112025,4.131872978535725,0.4983828285798294,13768.0,979.0,6405.0,236.0,16325.0,120.0,5621.0,678.0,2716.2746251102617,129.5354307556601,2160.0264628050572,743.7371361364305,89.70890914436929,3695220.0,176220.0,2938500.0,1011780.0,122040.0
M,25S,3ADKM0251,Outer,진자켓,3ADKM0251C0002,269000,2913,783597000,602766.9230769231,CQ241001446,USD,"HONGKONG KING TIDE FASHION CO.,LIMITED",2024-10-24,10.120552778594531,0.7196412819758894,4.708174066451043,0.17347838870920315,12.000147015583652,0.08820935019112025,4.131872978535725,0.4983828285798294,13768.0,979.0,6405.0,236.0,16325.0,120.0,5621.0,678.0,43958.3776830344,2096.315054395766,34956.42825639518,12036.145986474567,1451.789179653043,59800977.0,2851827.0,47554725.0,16373973.0,1975014.0
M,25S,3ADKM0251,Outer,진자켓,3ADKM0251G0001,269000,16,4304000,3310.769230769231,CQ241001455,USD,"HONGKONG KING TIDE FASHION CO.,LIMITED",2024-10-24,10.120552778594531,0.7196412819758894,4.708174066451043,0.17347838870920315,12.000147015583652,0.08820935019112025,4.131872978535725,0.4983828285798294,13768.0,979.0,6405.0,236.0,16325.0,120.0,5621.0,678.0,241.44663334313435,11.51426051161423,192.00235224933843,66.1099676565716,7.9741252572772705,328464.0,15664.0,261200.0,89936.0,10848.0
M,25S,3ADKM0251,Outer,진자켓,3ADKM0251K0001,269000,200,53800000,41384.61538461538,CQ241001448,USD,"HONGKONG KING TIDE FASHION CO.,LIMITED",2024-10-24,10.120552778594531,0.7196412819758894,4.708174066451043,0.17347838870920315,12.000147015583652,0.08820935019112025,4.131872978535725,0.4983828285798294,13768.0,979.0,6405.0,236.0,16325.0,120.0,5621.0,678.0,3018.0829167891798,143.92825639517787,2400.0294031167305,826.374595707145,99.67656571596588,4105800.0,195800.0,3265000.0,1124200.0,135600.0
M,25S,3ADKM0351,Outer,진자켓,3ADKM0351C0001,289000,30,8670000,6669.2307692307695,CQ241001581,USD,"Hongying garment CO., LTD",2024-10-25,16.736989120846808,0.5998235812996178,3.050573360776242,0.17347838870920315,10.299911790649809,0.08820935019112025,4.603057924139959,0.5976183475448397,22769.0,816.0,4150.0,236.0,14012.0,120.0,6262.0,813.0,601.4775066157011,17.994707438988534,308.99735371949424,138.09173772419877,17.92855042634519,818250.0,24480.0,420360.0,187860.0,24390.0
M,25S,3ADKM0351,Outer,진자켓,3ADKM0351C0002,289000,3155,911795000,701380.7692307692,CQ241001582,USD,"Hongying garment CO., LTD",2024-10-25,16.736989120846808,0.5998235812996178,3.050573360776242,0.17347838870920315,10.299911790649809,0.08820935019112025,4.603057924139959,0.5976183475448397,22769.0,816.0,4150.0,236.0,14012.0,120.0,6262.0,813.0,63255.38444575124,1892.443399000294,32496.221699500147,14522.64775066157,1885.4858865039691,86052625.0,2574480.0,44207860.0,19756610.0,2565015.0
