브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
ST,25S,TKPQ19553,Inner,폴로 티셔츠,TKPQ19553A0001,109000,21,2289000,1721.0526315789473,CQ241100990,KRW,(주)링크타운코리아,2024-11-14,2.9570170895908854,5.193460087297477,1.7733224827994376,0.4719982244580898,9.98742324480284,0.0,2.986609454760672,0.3425316268402752,3997.0,7020.0,2397.0,638.0,13500.0,0.0,4037.0,463.0,109.24909373381666,109.062661833247,209.73588814085966,62.71879854997411,7.19316416364578,147672.0,147420.0,283500.0,84777.0,9723.0
ST,25S,TKPQ19553,Inner,폴로 티셔츠,TKPQ19553F0001,109000,75,8175000,6146.616541353384,CQ241100991,KRW,(주)링크타운코리아,2024-11-14,2.9570170895908854,5.193460087297477,1.7733224827994376,0.4719982244580898,9.98742324480284,0.0,2.986609454760672,0.3425316268402752,3997.0,7020.0,2397.0,638.0,13500.0,0.0,4037.0,463.0,390.17533476363093,389.50950654731076,749.0567433602131,223.9957091070504,25.68987201302064,527400.0,526500.0,1012500.0,302775.0,34725.0
ST,25S,TKPT19553,Bottom,팬츠,TKPT19553A0001,139000,7,973000,731.578947368421,CQ241100985,KRW,(주)링크타운코리아,2024-11-14,4.960420211585411,2.5153510394318266,1.9590145742398462,0.4719982244580898,17.977361840645113,0.0,4.1118591403417915,0.43056891322038915,6705.0,3400.0,2648.0,638.0,24300.0,0.0,5558.0,582.0,51.740031071983424,17.607457276022785,125.84153288451579,28.78301398239254,3.013982392542724,69937.0,23800.0,170100.0,38906.0,4074.0
ST,25S,TKPT19553,Bottom,팬츠,TKPT19553F0001,139000,25,3475000,2612.781954887218,CQ241100987,KRW,(주)링크타운코리아,2024-11-14,4.960420211585411,2.5153510394318266,1.9590145742398462,0.4719982244580898,17.977361840645113,0.0,4.1118591403417915,0.43056891322038915,6705.0,3400.0,2648.0,638.0,24300.0,0.0,5558.0,582.0,184.78582525708367,62.883775985795666,449.4340460161278,102.79647850854478,10.764222830509729,249775.0,85000.0,607500.0,138950.0,14550.0
ST,25S,TKSK19553,Bottom,스커트,TKSK19553A0001,129000,16,2064000,1551.8796992481202,CQ241100994,KRW,(주)링크타운코리아,2024-11-14,2.7335947325589998,2.3673892135828956,2.3200414293112375,0.4719982244580898,14.981134867204261,0.0,3.3602130650292223,0.42982910409114444,3695.0,3200.0,3136.0,638.0,20250.0,0.0,4542.0,581.0,88.41015018125323,37.87822741732633,239.69815787526818,53.76340904046756,6.877265665458311,119504.0,51200.0,324000.0,72672.0,9296.0
ST,25S,TKSP19553,Bottom,반바지,TKSP19553A0001,69000,14,966000,726.3157894736842,CQ241100992,KRW,(주)링크타운코리아,2024-11-14,2.406599097432862,1.6275800843382406,1.907967744321965,0.4719982244580898,5.992453946881704,0.0,1.7903380927720647,0.3262558259968928,3253.0,2200.0,2579.0,638.0,8100.0,0.0,2420.0,441.0,67.01191092698083,22.786121180735368,83.89435525634386,25.064733298808907,4.567581563956499,90580.0,30800.0,113400.0,33880.0,6174.0
ST,25S,TKSP19553,Bottom,반바지,TKSP19553F0001,69000,75,5175000,3890.9774436090224,CQ241100993,KRW,(주)링크타운코리아,2024-11-14,2.406599097432862,1.6275800843382406,1.907967744321965,0.4719982244580898,5.992453946881704,0.0,1.7903380927720647,0.3262558259968928,3253.0,2200.0,2579.0,638.0,8100.0,0.0,2420.0,441.0,358.9923799659687,122.06850632536805,449.4340460161278,134.27535695790485,24.46918694976696,485250.0,165000.0,607500.0,181500.0,33075.0
ST,25S,TKTR19553,Inner,트레이닝(상의),TKTR19553A0001,159000,7,1113000,836.8421052631579,CQ241100988,KRW,(주)링크타운코리아,2024-11-14,8.00399496929792,3.9949692979211364,1.8273285492342974,0.4719982244580898,15.979877191684546,0.0,4.470666568025449,0.5467189465118,10819.0,5400.0,2470.0,638.0,21600.0,0.0,6043.0,739.0,72.12325220093216,27.964785085447954,111.85914034179181,31.294665976178145,3.8270326255826,97489.0,37800.0,151200.0,42301.0,5173.0
ST,25S,TKTR19553,Inner,트레이닝(상의),TKTR19553F0001,159000,40,6360000,4781.954887218045,CQ241100989,KRW,(주)링크타운코리아,2024-11-14,8.00399496929792,3.9949692979211364,1.8273285492342974,0.4719982244580898,15.979877191684546,0.0,4.470666568025449,0.5467189465118,10819.0,5400.0,2470.0,638.0,21600.0,0.0,6043.0,739.0,412.13286971961236,159.79877191684545,639.1950876673818,178.82666272101798,21.868757860471998,557080.0,216000.0,864000.0,241720.0,29560.0
ST,25S,TMKU30553,Inner,니트반팔티셔츠,TMKU30553K0001,159000,310,49290000,37060.15037593985,CQ241200263,KRW,㈜어필코리아,2024-12-04,5.785307390693201,0.3699045646223274,0.96471110453503,0.3994969297921136,19.82688466375675,0.0,4.0423170821927945,2.8238514463268474,7820.0,500.0,1304.0,540.0,26800.0,0.0,5464.0,3817.0,2216.349781756307,114.6704150329215,6146.334245764593,1253.1182954797664,875.3939483613227,2995840.0,155000.0,8308000.0,1693840.0,1183270.0
