브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량),입고수량,최초입고일,최종입고일
X,전년(26N),DXBK0036N,Bag,백팩,DXBK0036NK0001,169000,9700,1639300000,1170928.5714285714,CQ250900804,KRW,(주)케이앤씨인터내셔날,2025-09-24,9299.637857142858,1150.8214285714287,11509.215,437.3121428571429,9406.714285714286,0.0,4705.358571428572,517.3692857142858,9293.0,1150.0,11501.0,437.0,9400.0,0.0,4702.0,517.0,206087800.5,11162967.857142856,91245128.57142857,45641978.14285714,5018482.071428572,205940700.0,11155000.0,91180000.0,45609400.0,5014900.0,9700,2025-10-22,2025-11-11
X,전년(26N),DXBK0116N,Bag,백팩,DXBK0116ND0001,169000,70,11830000,8450.0,CQ250900808,KRW,(주)케이앤씨인터내셔날,2025-09-24,8835.306428571428,1380.9857142857143,11903.496428571429,437.3121428571429,9406.714285714286,0.0,4729.375714285714,833.595,8829.0,1380.0,11895.0,437.0,9400.0,0.0,4726.0,833.0,1482328.05,96669.0,658470.0,331056.3,58351.65,1481270.0,96600.0,658000.0,330820.0,58310.0,70,2025-11-03,2025-11-10
X,전년(26N),DXBK0116N,Bag,백팩,DXBK0116NK0001,169000,12950,2188550000,1563250.0,CQ250900806,KRW,(주)케이앤씨인터내셔날,2025-09-24,8835.306428571428,1380.9857142857143,11903.496428571429,437.3121428571429,9406.714285714286,0.0,4729.375714285714,833.595,8829.0,1380.0,11895.0,437.0,9400.0,0.0,4726.0,833.0,274230689.25,17883765.0,121816950.0,61245415.5,10795055.25,274034950.0,17871000.0,121730000.0,61201700.0,10787350.0,12920,2025-10-22,2025-11-10
X,전년(26N),DXBK0126N,Bag,백팩,DXBK0126ND0001,169000,70,11830000,8450.0,CQ250900811,KRW,(주)케이앤씨인터내셔날,2025-09-24,9223.583571428571,1150.8214285714287,12382.838571428572,437.3121428571429,9406.714285714286,0.0,4663.328571428571,262.1871428571429,9217.0,1150.0,12374.0,437.0,9400.0,0.0,4660.0,262.0,1543061.4,80557.5,658470.0,326433.0,18353.1,1541960.0,80500.0,658000.0,326200.0,18340.0,70,2025-11-03,2025-11-11
X,전년(26N),DXBK0126N,Bag,백팩,DXBK0126NK0001,169000,14450,2442050000,1744321.4285714286,CQ250900809,KRW,(주)케이앤씨인터내셔날,2025-09-24,9223.583571428571,1150.8214285714287,12382.838571428572,437.3121428571429,9406.714285714286,0.0,4663.328571428571,262.1871428571429,9217.0,1150.0,12374.0,437.0,9400.0,0.0,4660.0,262.0,318531960.4285714,16629369.642857144,135927021.42857143,67385097.85714285,3788604.214285714,318304600.0,16617500.0,135830000.0,67337000.0,3785900.0,14420,2025-10-22,2025-11-19
X,전년(26N),DXBK0136N,Bag,백팩,DXBK0136ND0001,179000,30,5370000,3835.714285714286,CQ250900814,KRW,(주)케이앤씨인터내셔날,2025-09-24,9208.572857142857,1531.0928571428572,13984.982142857143,437.3121428571429,9606.857142857143,0.0,4497.21,262.1871428571429,9202.0,1530.0,13975.0,437.0,9600.0,0.0,4494.0,262.0,708926.0142857142,45932.78571428572,288205.71428571426,134916.3,7865.614285714286,708420.0,45900.0,288000.0,134820.0,7860.0,30,2025-11-03,2025-11-10
X,전년(26N),DXBK0136N,Bag,백팩,DXBK0136NK0001,179000,5500,984500000,703214.2857142857,CQ250900812,KRW,(주)케이앤씨인터내셔날,2025-09-24,9208.572857142857,1531.0928571428572,13984.982142857143,437.3121428571429,9606.857142857143,0.0,4497.21,262.1871428571429,9202.0,1530.0,13975.0,437.0,9600.0,0.0,4494.0,262.0,129969769.28571428,8421010.714285715,52837714.28571428,24734655.0,1442029.2857142857,129877000.0,8415000.0,52800000.0,24717000.0,1441000.0,5490,2025-11-03,2025-11-10
X,전년(26N),DXBK0146N,Bag,백팩,DXBK0146ND0001,169000,65,10985000,7846.428571428572,CQ250900825,KRW,(주)케이앤씨인터내셔날,2025-09-24,9131.517857142857,1150.8214285714287,11283.05357142857,437.3121428571429,9606.857142857143,0.0,4676.3378571428575,740.5285714285715,9125.0,1150.0,11275.0,437.0,9600.0,0.0,4673.0,740.0,1355372.4321428572,74803.39285714286,624445.7142857143,303961.9607142857,48134.357142857145,1354405.0,74750.0,624000.0,303745.0,48100.0,65,2025-11-03,2025-11-11
X,전년(26N),DXBK0146N,Bag,백팩,DXBK0146NK0001,169000,11500,1943500000,1388214.2857142857,CQ250900824,KRW,(주)케이앤씨인터내셔날,2025-09-24,9131.517857142857,1150.8214285714287,11283.05357142857,437.3121428571429,9606.857142857143,0.0,4676.3378571428575,740.5285714285715,9125.0,1150.0,11275.0,437.0,9600.0,0.0,4673.0,740.0,239796661.07142857,13234446.42857143,110478857.14285715,53777885.35714286,8516078.57142857,239625500.0,13225000.0,110400000.0,53739500.0,8510000.0,11475,2025-10-23,2025-11-19
X,전년(26N),DXBK0156N,Bag,백팩,DXBK0156ND0001,169000,65,10985000,7846.428571428572,CQ250900828,KRW,(주)케이앤씨인터내셔날,2025-09-24,9159.537857142857,1451.0357142857142,11425.155,437.3121428571429,9406.714285714286,0.0,4716.3664285714285,430.3071428571429,9153.0,1450.0,11417.0,437.0,9400.0,0.0,4713.0,430.0,1366430.325,94317.32142857143,611436.4285714285,306563.8178571428,27969.964285714286,1365455.0,94250.0,611000.0,306345.0,27950.0,65,2025-11-03,2025-11-11
X,전년(26N),DXBK0156N,Bag,백팩,DXBK0156NK0001,169000,8000,1352000000,965714.2857142857,CQ250900826,KRW,(주)케이앤씨인터내셔날,2025-09-24,9159.537857142857,1451.0357142857142,11425.155,437.3121428571429,9406.714285714286,0.0,4716.3664285714285,430.3071428571429,9153.0,1450.0,11417.0,437.0,9400.0,0.0,4713.0,430.0,168176040.0,11608285.714285715,75253714.28571428,37730931.428571425,3442457.1428571427,168056000.0,11600000.0,75200000.0,37704000.0,3440000.0,7975,2025-10-23,2025-11-19
X,전년(26N),DXBK0166N,Bag,백팩,DXBK0166ND0001,159000,65,10335000,7382.142857142857,CQ250900833,KRW,(주)케이앤씨인터내셔날,2025-09-24,8625.156428571428,1150.8214285714287,11286.055714285714,437.3121428571429,9406.714285714286,0.0,4357.11,262.1871428571429,8619.0,1150.0,11278.0,437.0,9400.0,0.0,4354.0,262.0,1322654.0785714285,74803.39285714286,611436.4285714285,283212.15,17042.164285714287,1321710.0,74750.0,611000.0,283010.0,17030.0,65,2025-11-03,2025-11-11
X,전년(26N),DXBK0166N,Bag,백팩,DXBK0166NK0001,159000,6000,954000000,681428.5714285715,CQ250900830,KRW,(주)케이앤씨인터내셔날,2025-09-24,8625.156428571428,1150.8214285714287,11286.055714285714,437.3121428571429,9406.714285714286,0.0,4357.11,262.1871428571429,8619.0,1150.0,11278.0,437.0,9400.0,0.0,4354.0,262.0,122091145.71428572,6904928.571428572,56440285.71428572,26142660.0,1573122.857142857,122004000.0,6900000.0,56400000.0,26124000.0,1572000.0,5975,2025-10-29,2025-11-19
X,전년(26N),DXBK0176N,Bag,백팩,DXBK0176NK0001,159000,6000,954000000,681428.5714285715,CQ250900834,KRW,(주)케이앤씨인터내셔날,2025-09-24,8333.948571428571,1150.8214285714287,11853.460714285715,437.3121428571429,9406.714285714286,0.0,4581.27,262.1871428571429,8328.0,1150.0,11845.0,437.0,9400.0,0.0,4578.0,262.0,123748328.57142857,6904928.571428572,56440285.71428572,27487620.0,1573122.857142857,123660000.0,6900000.0,56400000.0,27468000.0,1572000.0,6000,2025-11-03,2025-11-11
X,전년(26N),DXBK3016N,Bag,백팩,DXBK3016ND0001,139000,50,6950000,4964.285714285715,CQ250900843,KRW,(주)케이앤씨인터내셔날,2025-09-24,8506.07142857143,950.6785714285714,7443.312857142857,437.3121428571429,8355.964285714286,0.0,3788.7042857142856,1339.9564285714287,8500.0,950.0,7438.0,437.0,8350.0,0.0,3786.0,1339.0,819334.8214285715,47533.92857142857,417798.21428571426,189435.2142857143,66997.82142857143,818750.0,47500.0,417500.0,189300.0,66950.0,50,2025-11-03,2025-11-03
X,전년(26N),DXBK3016N,Bag,백팩,DXBK3016NK0001,139000,900,125100000,89357.14285714286,CQ250900841,KRW,(주)케이앤씨인터내셔날,2025-09-24,8506.07142857143,950.6785714285714,7443.312857142857,437.3121428571429,8355.964285714286,0.0,3788.7042857142856,1339.9564285714287,8500.0,950.0,7438.0,437.0,8350.0,0.0,3786.0,1339.0,14748026.785714285,855610.7142857143,7520367.857142857,3409833.8571428573,1205960.7857142857,14737500.0,855000.0,7515000.0,3407400.0,1205100.0,900,2025-11-03,2025-11-03
X,전년(26N),DXCP5016N,Headwear,운동모,DXCP5016ND0001,39000,350,13650000,9750.0,CQ251000818,KRW,㈜유풍,2025-10-24,960.6857142857143,1180.8428571428572,1294.9242857142858,421.30071428571426,1791.2785714285715,0.0,784.56,128.09142857142857,960.0,1180.0,1294.0,421.0,1790.0,0.0,784.0,128.0,936918.75,413295.0,626947.5,274596.0,44832.0,936250.0,413000.0,626500.0,274400.0,44800.0,350,2025-11-26,2025-11-26
X,전년(26N),DXCP5016N,Headwear,운동모,DXCP5016NK0001,39000,5800,226200000,161571.42857142858,CQ251000817,KRW,㈜유풍,2025-10-24,960.6857142857143,1180.8428571428572,1294.9242857142858,421.30071428571426,1791.2785714285715,0.0,784.56,128.09142857142857,960.0,1180.0,1294.0,421.0,1790.0,0.0,784.0,128.0,15526082.142857144,6848888.571428572,10389415.714285715,4550448.0,742930.2857142857,15515000.0,6844000.0,10382000.0,4547200.0,742400.0,5800,2025-11-26,2025-11-26
X,전년(26N),DXCP5116N,Headwear,운동모,DXCP5116ND0001,45000,210,9450000,6750.0,CQ251000820,KRW,㈜유풍,2025-10-24,1050.75,1180.8428571428572,1249.8921428571427,387.2764285714286,2736.9535714285716,0.0,932.6657142857143,126.09,1050.0,1180.0,1249.0,387.0,2735.0,0.0,932.0,126.0,564462.9,247977.0,574760.25,195859.8,26478.9,564060.0,247800.0,574350.0,195720.0,26460.0,210,2025-11-26,2025-11-26
X,전년(26N),DXCP5116N,Headwear,운동모,DXCP5116NK0001,45000,4400,198000000,141428.57142857142,CQ251000819,KRW,㈜유풍,2025-10-24,1050.75,1180.8428571428572,1249.8921428571427,387.2764285714286,2736.9535714285716,0.0,932.6657142857143,126.09,1050.0,1180.0,1249.0,387.0,2735.0,0.0,932.0,126.0,11826841.714285715,5195708.571428572,12042595.714285715,4103729.1428571427,554796.0,11818400.0,5192000.0,12034000.0,4100800.0,554400.0,4240,2025-11-26,2025-11-26
X,전년(26N),DXMR0186N,Bag,메신저백,DXMR0186NK0001,99000,2400,237600000,169714.2857142857,CQ250900837,KRW,(주)케이앤씨인터내셔날,2025-09-24,6490.632857142858,350.25,4674.336428571429,437.3121428571429,7655.464285714285,0.0,2645.8885714285716,262.1871428571429,6486.0,350.0,4671.0,437.0,7650.0,0.0,2644.0,262.0,27845475.42857143,840600.0,18373114.285714287,6350132.571428572,629249.1428571428,27825600.0,840000.0,18360000.0,6345600.0,628800.0,2400,2025-11-03,2025-11-03
