section,key,value
prev_usd_cost_rate,,23.8
prev_krw_cost_rate,,22.6
usd_summary,,26SS_NON 시즌 USD 기준 원가율은 23.8%에서 26.3%로 +2.5%p 악화되었습니다. 주요 원인은 마진 원가율 +1.1%p 변동입니다.
krw_summary,,당년 USD 원가율 26.3%에서 환율 변동 효과로 당년 KRW 원가율은 26.4%로 나타났습니다.
action_1,,소재비 절감: 원자재 단가 상승(+1.0%p)으로 소재 사양 재검토 및 대체소재 전환 검토 필요.
action_2,,원가 모니터링: USD/KRW 원가율을 분리 관리하여 환율 영향 실시간 추적.
risk_1,,환율 리스크: 환율 +5.8% 변동(1303→1379원)으로 KRW 원가율 +1.3%p 추가 악화. 기준환율 관리 필요.
risk_2,,원자재 리스크: 글로벌 소재 단가 상승으로 원자재 원가율 +1.0%p 상승.
risk_3,,마진 리스크: 협력사 정상마진 확대(+1.10%p)로 납품단가 상승 압박 지속.
success_1,,원가 압박 심화: USD 기준 원가율 +2.5%p 악화로 실질 원가 상승 압력 지속. 소재비·공임비 절감 전략 수립 필요.
success_2,,환율 리스크 관리: 환율 +5.8% 상승으로 KRW 기준 원가율 +3.8%p 악화. 기준환율 설정 및 환율 헤징 전략 검토 필요.
success_3,,소재비 최적화: 원부자재 원가율 +1.0%p 상승. 소재 사양 재검토 및 대체소재 전환 검토.
action summary,,"주요 액션: 소재비 절감, 원가 모니터링"
risk summary,,"주요 리스크: 환율 리스크, 원자재 리스크, 마진 리스크"
success summary,,"성공 포인트: 원가 압박 심화, 환율 리스크 관리, 소재비 최적화"
message,,"26SS_NON 시즌은 USD 기준 +2.5%p 악화, KRW 기준 +3.8%p 악화되었습니다. 환율 변동이 KRW 원가율에 영향을 미쳤습니다. 단기적으로는 세부 항목별 원가 모니터링, 중기적으로는 소싱 다변화와 공임 효율화를 통한 구조적 원가 방어가 필요합니다."
metrics_title,,주요 지표 요약
metrics_volume,,생산 수량은 전시즌 대비 -98.8% 감소했습니다.
metrics_tag,,평균 TAG는 전시즌 대비 -87.1% 하락했습니다.
metrics_fx,,환율은 1303원에서 1379원으로 +5.8% 상승했습니다.
metrics_conclusion,,"전체적으로 수량 -98.8% 변동, TAG -87.1% 변동, 원가 -85.7% 변동으로 안정세를 보였습니다."
executive_summary,,"26SS_NON 시즌 원가 분석 결과, USD 기준 원가율은 23.8%에서 26.3%로 +2.5%p 악화되었습니다. KRW 기준으로는 +3.8%p 악화되었으며, 환율 변동이 영향을 미쳤습니다. 세부 항목별 원가율 모니터링과 구조적 원가 절감 노력이 필요합니다."
