브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
ST,26S,TKPQ70063,Inner,폴로 티셔츠,TKPQ70063A0001,109000,21,2289000,1693.423096841015,CQ250900056,KRW,(주)예경에이피,2025-09-01,4.298875589408778,5.5132390279289085,0.8676097207109177,0.39173014145810664,15.27747551686616,0.0,3.8933623503808485,0.35038084874863984,5926.0,7600.0,1196.0,540.0,21060.0,0.0,5367.0,483.0,116.72252448313384,115.77801958650709,320.82698585418933,81.76060935799782,7.357997823721437,160902.0,159600.0,442260.0,112707.0,10143.0
ST,26S,TKPQ70063,Inner,폴로 티셔츠,TKPQ70063F0001,109000,75,8175000,6047.939631575054,CQ250900057,KRW,(주)예경에이피,2025-09-01,4.298875589408778,5.5132390279289085,0.8676097207109177,0.39173014145810664,15.27747551686616,0.0,3.8933623503808485,0.35038084874863984,5926.0,7600.0,1196.0,540.0,21060.0,0.0,5367.0,483.0,416.86615886833516,413.4929270946681,1145.8106637649619,292.00217627856364,26.278563656147988,574650.0,570000.0,1579500.0,402525.0,36225.0
ST,26S,TKPT70063,Bottom,팬츠,TKPT70063A0001,139000,7,973000,719.8342827550491,CQ250900054,KRW,(주)예경에이피,2025-09-01,6.219078708741385,4.787812840043525,1.2861806311207835,0.39173014145810664,23.21146173376859,0.0,5.325353645266594,0.4439608269858542,8573.0,6600.0,1773.0,540.0,31997.0,0.0,7341.0,612.0,55.27892636924193,33.51468988030467,162.48023213638012,37.277475516866154,3.1077257889009795,76202.0,46200.0,223979.0,51387.0,4284.0
ST,26S,TKPT70063,Bottom,팬츠,TKPT70063F0001,139000,25,3475000,2570.836724125176,CQ250900042,KRW,(주)예경에이피,2025-09-01,6.219078708741385,4.787812840043525,1.2861806311207835,0.39173014145810664,23.21146173376859,0.0,5.325353645266594,0.4439608269858542,8573.0,6600.0,1773.0,540.0,31997.0,0.0,7341.0,612.0,197.42473703300686,119.69532100108813,580.2865433442148,133.13384113166484,11.099020674646356,272150.0,165000.0,799925.0,183525.0,15300.0
ST,26S,TKSP70063,Bottom,반바지,TKSP70063A0001,69000,14,966000,714.6556188503366,CQ250900034,KRW,(주)예경에이피,2025-09-01,2.7406601378309756,2.974247370330069,1.3260790714544795,0.39173014145810664,10.266231410953935,0.0,2.5963003264417845,0.3793978962640551,3778.0,4100.0,1828.0,540.0,14152.0,0.0,3579.0,523.0,62.41857091040987,41.639463184620965,143.7272397533551,36.34820457018498,5.311570547696772,86044.0,57400.0,198128.0,50106.0,7322.0
ST,26S,TKSP70063,Bottom,반바지,TKSP70063F0001,69000,75,5175000,3828.512243841089,CQ250900041,KRW,(주)예경에이피,2025-09-01,2.7406601378309756,2.974247370330069,1.3260790714544795,0.39173014145810664,10.266231410953935,0.0,2.5963003264417845,0.3793978962640551,3778.0,4100.0,1828.0,540.0,14152.0,0.0,3579.0,523.0,334.3852013057671,223.06855277475518,769.9673558215452,194.72252448313384,28.454842219804135,460950.0,307500.0,1061400.0,268425.0,39225.0
ST,26S,TKTR70063,Inner,트레이닝(상의),TKTR70063A0001,159000,7,1113000,823.4075608493008,CQ250900028,KRW,(주)예경에이피,2025-09-01,9.485672832789264,5.5132390279289085,1.6343852013057671,0.39173014145810664,23.955023576351106,0.0,6.088501994922017,0.5890460645629307,13076.0,7600.0,2253.0,540.0,33022.0,0.0,8393.0,812.0,80.58251722887196,38.59267319550236,167.68516503445775,42.619513964454114,4.123322451940515,111083.0,53200.0,231154.0,58751.0,5684.0
ST,26S,TKTR70063,Inner,트레이닝(상의),TKTR70063F0001,159000,50,7950000,5881.482577495006,CQ250900030,KRW,(주)예경에이피,2025-09-01,9.485672832789264,5.5132390279289085,1.6343852013057671,0.39173014145810664,23.955023576351106,0.0,6.088501994922017,0.5890460645629307,13076.0,7600.0,2253.0,540.0,33022.0,0.0,8393.0,812.0,575.5894087776569,275.66195139644543,1197.7511788175552,304.42509974610084,29.452303228146537,793450.0,380000.0,1651100.0,419650.0,40600.0
ST,26S,TMKU50163,Inner,니트반팔티셔츠,TMKU50163K0001,159000,40,6360000,4705.186061996005,CQ250900980,USD,"Sergio Tacchini Operations, Inc.",2025-09-29,0.0,0.0,0.0,0.0,31.180268407689518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42982.0,0.0,0.0,0.0,0.0,0.0,1247.2107363075806,0.0,0.0,0.0,0.0,1719280.0,0.0,0.0
ST,26S,TMPQ10261,Inner,폴로 티셔츠,TMPQ10261K0001,119000,270,32130000,23770.06732263076,CQ251001043,KRW,(주)빅썬케이알글로벌,2025-10-30,8.974972796517955,1.3057671381936888,0.8784911135291984,0.3902792890823359,8.581066376496192,0.0,2.961189698948132,0.538266231410954,12372.0,1800.0,1211.0,538.0,11829.0,0.0,4082.0,742.0,2765.810663764962,352.55712731229596,2316.8879216539717,799.5212187159956,145.33188248095757,3812670.0,486000.0,3193830.0,1102140.0,200340.0
