브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
V,26S,VDBK17563,Bag,백팩,VDBK17563K0001,350000,200,70000000,53846.153846153844,CQ251200519,KRW,주식회사한백티알,2025-12-09,2.9606208680655364,0.8263868927852832,10.117849956884163,0.3758263868927853,15.263006611095143,0.0,4.375538947973556,1.4594711123886175,4120.0,1150.0,14080.0,523.0,21240.0,0.0,6089.0,2031.0,2690.859442368497,165.27737855705664,3052.6013222190286,875.1077895947112,291.8942224777235,3744600.0,230000.0,4248000.0,1217800.0,406200.0
V,26S,VDCR17263,Bag,크로스백,VDCR17263K0001,290000,300,87000000,66923.07692307692,CQ251100734,KRW,주식회사한백티알,2025-11-11,2.053751077895947,0.8263868927852832,8.495975855130785,0.4060074734119,14.25697039379132,0.0,3.8452141419948265,1.244610520264444,2858.0,1150.0,11823.0,565.0,19840.0,0.0,5351.0,1732.0,3286.7203219315898,247.91606783558495,4277.091118137396,1153.564242598448,373.38315607933316,4573800.0,345000.0,5952000.0,1605300.0,519600.0
V,26S,VDCR17463,Bag,크로스백,VDCR17463K0001,290000,400,116000000,89230.76923076923,CQ251201114,KRW,(주)에스씨인터내셔널,2025-12-15,12.155791894222478,3.5929864903707966,14.600459902270769,0.39450991664271345,5.357861454440932,0.0,5.3564242598447835,3.116556481747629,16916.0,5000.0,20318.0,549.0,7456.0,0.0,7454.0,4337.0,10860.304685254383,1437.1945961483186,2143.144581776373,2142.5697039379133,1246.6225926990517,15113200.0,2000000.0,2982400.0,2981600.0,1734800.0
V,26S,VDDH36361,Outer,반팔다운,VDDH36361K0001,1090000,300,327000000,251538.46153846153,CQ251200521,KRW,원전교역,2025-12-09,22.773785570566258,0.0,32.62934751365335,1.0699913768324232,43.7625754527163,0.0,14.874964070135098,15.273785570566256,31692.0,0.0,45407.0,1489.0,60900.0,0.0,20700.0,21255.0,16941.937338315613,0.0,13128.77263581489,4462.48922104053,4582.135671169876,23576400.0,0.0,18270000.0,6210000.0,6376500.0
V,26S,VDDJ31361,Outer,다운점퍼,VDDJ31361K0001,1290000,300,387000000,297692.3076923077,CQ251100864,KRW,원창물산 (주),2025-11-12,43.34578901983329,0.0,32.032193158953724,0.9392066685829262,34.205231388329985,0.0,16.43719459614832,9.254096004599024,60320.0,0.0,44576.0,1307.0,47600.0,0.0,22874.0,12878.0,22895.156654210983,0.0,10261.569416498995,4931.158378844496,2776.228801379707,31860900.0,0.0,14280000.0,6862200.0,3863400.0
V,26S,VDHD12361,Inner,후드티,VDHD12361K0001,290000,220,63800000,49076.92307692308,CQ251101943,KRW,주식회사 에스비컴바인,2025-11-25,19.297211842483474,2.9893647599885025,2.4166427134233976,0.4994251221615407,14.14486921529175,0.0,5.827105490083357,1.836016096579477,26854.0,4160.0,3363.0,695.0,19684.0,0.0,8109.0,2555.0,4886.921529175051,657.6602471974705,3111.871227364185,1281.9632078183386,403.92354124748493,6800640.0,915200.0,4330480.0,1783980.0,562100.0
V,26S,VDHD18161,Inner,후드티,VDHD18161K0001,390000,300,117000000,90000.0,CQ251201081,KRW,㈜제이앤케이컴퍼니리미티드,2025-12-15,19.09816039091693,4.954009772923254,7.813308421960334,0.491520551882725,18.51897096866916,0.0,7.557487783845933,3.787726358148894,26577.0,6894.0,10873.0,684.0,25771.0,0.0,10517.0,5271.0,8220.896809427997,1486.2029318769762,5555.691290600747,2267.24633515378,1136.3179074446682,11440200.0,2068200.0,7731300.0,3155100.0,1581300.0
V,26S,VDHT10163,Headwear,햇,VDHT10163K0001,170000,700,119000000,91538.46153846153,CQ251100122,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-11-09,0.794050014371946,0.7502155791894223,1.3301235987352689,0.509485484334579,3.4801667145731536,0.0,0.9528600172463352,0.24288588674906583,1105.0,1044.0,1851.0,709.0,4843.0,0.0,1326.0,338.0,1843.5613682092558,525.1509054325956,2436.1167002012075,667.0020120724346,170.02012072434607,2565500.0,730800.0,3390100.0,928200.0,236600.0
V,26S,VDHT10263,Headwear,햇,VDHT10263K0001,170000,600,102000000,78461.53846153847,CQ251100121,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-11-12,0.8184823225064675,0.8501006036217305,1.3301235987352689,0.509485484334579,9.560218453578615,0.0,1.8841621155504455,0.24360448404714,1139.0,1183.0,1851.0,709.0,13304.0,0.0,2622.0,339.0,1594.854843345789,510.0603621730383,5736.131072147169,1130.4972693302673,146.162690428284,2219400.0,709800.0,7982400.0,1573200.0,203400.0
V,26S,VDHT11163,Headwear,햇,VDHT11163K0001,170000,200,34000000,26153.846153846152,CQ251100123,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-11-09,0.6841046277665996,0.0,1.3301235987352689,0.509485484334579,3.7999425122161545,0.0,0.8723771198620294,0.24073009485484337,952.0,0.0,1851.0,709.0,5288.0,0.0,1214.0,335.0,504.74274216728946,0.0,759.9885024432309,174.47542397240588,48.146018970968676,702400.0,0.0,1057600.0,242800.0,67000.0
V,26S,VDKC12863,Outer,니트가디건,VDKC12863K0001,350000,300,105000000,80769.23076923077,CQ251201082,KRW,(주)다인지아이씨,2025-12-15,9.821787870077609,0.0,3.0619430870939928,0.4943949410750216,30.18108651911469,0.0,6.459471112388618,0.3025294624892211,13668.0,0.0,4261.0,688.0,42000.0,0.0,8989.0,421.0,4013.437769473987,0.0,9054.325955734406,1937.8413337165855,90.75883874676633,5585100.0,0.0,12600000.0,2696700.0,126300.0
V,26S,VDKC15461,Outer,니트가디건,VDKC15461K0001,330000,340,112200000,86307.69230769231,CQ251200758,KRW,(주)다인지아이씨,2025-12-11,10.20911181373958,1.4371945961483186,1.6441506179936765,0.5914055763150331,22.995113538373097,0.0,5.442655935613683,0.293187697614257,14207.0,2000.0,2288.0,823.0,32000.0,0.0,7574.0,408.0,4231.187122736418,488.6461626904283,7818.338603046853,1850.5030181086522,99.68381718884739,5888120.0,680000.0,10880000.0,2575160.0,138720.0
V,26S,VDPD10261,Outer,패딩,VDPD10261K0001,790000,270,213300000,164076.92307692306,CQ251201380,KRW,(주)기도산업,2025-12-19,17.846363897671747,0.0,17.365622305260132,0.7207530899683817,30.843633227939065,0.0,9.908019545846509,3.181230238574303,24835.0,0.0,24166.0,1003.0,42922.0,0.0,13788.0,4427.0,9701.839609083072,0.0,8327.780971543547,2675.165277378557,858.9321644150618,13501080.0,0.0,11588940.0,3722760.0,1195290.0
V,26S,VDPT10863,Bottom,팬츠,VDPT10863K0001,290000,200,58000000,44615.38461538462,CQ251201130,KRW,주식회사 엠에스에프,2025-12-16,17.733544121874104,0.6920091980454154,4.186547858580052,0.5037367059499857,16.460908306984766,0.0,5.860879563092843,1.6211555044553034,24678.0,963.0,5826.0,701.0,22907.0,0.0,8156.0,2256.0,4484.765737280829,138.40183960908308,3292.181661396953,1172.1759126185686,324.2311008910607,6241000.0,192600.0,4581400.0,1631200.0,451200.0
V,26S,VDPT12361,Bottom,팬츠,VDPT12361K0001,250000,220,55000000,42307.692307692305,CQ251201595,KRW,주식회사 에스비컴바인,2025-12-24,16.256826674331705,0.8077033630353551,4.181517677493533,0.4994251221615407,10.103478010922679,0.0,4.702500718597299,2.025007185972981,22623.0,1124.0,5819.0,695.0,14060.0,0.0,6544.0,2818.0,4606.309284277091,177.6947398677781,2222.7651624029895,1034.5501580914058,445.5015809140558,6410140.0,247280.0,3093200.0,1439680.0,619960.0
V,26S,VDPT13161,Bottom,팬츠,VDPT13161K0001,310000,250,77500000,59615.38461538462,CQ251200717,KRW,주식회사 엠에스에프,2025-12-16,26.96248922104053,0.6920091980454154,2.00416786432883,0.5037367059499857,17.95774647887324,0.609370508766887,7.142138545559069,2.228370221327968,37521.0,963.0,2789.0,701.0,24990.0,848.0,9939.0,3101.0,7519.9410750215575,173.00229951135384,4489.43661971831,1785.5346363897672,557.092555331992,10464750.0,240750.0,6247500.0,2484750.0,775250.0
V,26S,VDPT18161,Bottom,팬츠,VDPT18161K0001,290000,240,69600000,53538.46153846154,CQ251201079,KRW,㈜제이앤케이컴퍼니리미티드,2025-12-15,12.027162977867205,0.0,4.2433170451279105,0.491520551882725,16.25538947973556,0.0,4.878557056625468,5.727220465651049,16737.0,0.0,5905.0,684.0,22621.0,0.0,6789.0,7970.0,4022.880137970682,0.0,3901.293475136534,1170.8536935901122,1374.532911756252,5598240.0,0.0,5429040.0,1629360.0,1912800.0
V,26S,VDRS16063,Inner,반팔티셔츠,VDRS16063K0002,150000,550,82500000,63461.53846153846,CQ251000985,USD,TESSELLATION INTERNATIONAL LIMITED,2025-10-28,6.104484047139983,2.620724346076459,0.3478010922678931,0.509485484334579,3.000143719459615,0.0,1.4249784420810578,0.6431445817763726,8495.0,3647.0,484.0,709.0,4175.0,0.0,1983.0,895.0,3828.97384305835,1441.3983903420526,1650.0790457027883,783.7381431445818,353.72951997700494,5328400.0,2005850.0,2296250.0,1090650.0,492250.0
V,26S,VDRS16863,Inner,반팔티셔츠,VDRS16863K0001,190000,440,83600000,64307.692307692305,CQ251000982,USD,TESSELLATION INTERNATIONAL LIMITED,2025-10-28,5.028743891922967,6.020408163265307,0.3478010922678931,0.509485484334579,3.000143719459615,0.0,2.1593848807128486,0.5899683817188848,6998.0,8378.0,484.0,709.0,4175.0,0.0,3005.0,821.0,2589.853406151193,2648.979591836735,1320.0632365622305,950.1293475136534,259.5860879563093,3604040.0,3686320.0,1837000.0,1322200.0,361240.0
V,26S,VDRS17363,Inner,반팔티셔츠,VDRS17363K0001,190000,500,95000000,73076.92307692308,CQ251000986,USD,TESSELLATION INTERNATIONAL LIMITED,2025-10-28,2.9843345789019837,5.340615119287152,0.3478010922678931,0.509485484334579,3.000143719459615,0.0,0.7703363035354988,0.48720896809428,4153.0,7432.0,484.0,709.0,4175.0,0.0,1072.0,678.0,1920.8105777522278,2670.307559643576,1500.0718597298076,385.16815176774935,243.60448404714,2673000.0,3716000.0,2087500.0,536000.0,339000.0
V,26S,VDSK13363,Bottom,스커트,VDSK13363K0001,350000,270,94500000,72692.30769230769,CQ251200585,KRW,㈜원지아이엔씨,2025-12-10,19.35398102903133,0.0,6.932308134521414,0.6129634952572579,21.605346363897674,0.0,7.18381718884737,6.040528887611383,26933.0,0.0,9647.0,853.0,30066.0,0.0,9997.0,8406.0,7262.7982178787015,0.0,5833.443518252372,1939.63064098879,1630.9427996550733,10106910.0,0.0,8117820.0,2699190.0,2269620.0
V,26S,VDSP10161,Bottom,반바지,VDSP10161K0001,350000,135,47250000,36346.153846153844,CQ251200716,KRW,주식회사 엠에스에프,2025-12-16,10.847944811727508,0.0,7.216154067260708,0.5339177924691003,17.95774647887324,0.6776372520839322,5.403133084219603,3.6008910606496123,15096.0,0.0,10042.0,743.0,24990.0,943.0,7519.0,5011.0,2602.2132796780684,0.0,2424.2957746478874,729.4229663696465,486.12029318769765,3621240.0,0.0,3373650.0,1015065.0,676485.0
V,26S,VDSP10263,Bottom,반바지,VDSP10263K0001,290000,280,81200000,62461.53846153846,CQ251201131,KRW,주식회사 엠에스에프,2025-12-16,13.969531474561657,0.0,5.0244323081345215,0.5339177924691003,18.51897096866916,1.1152630066110951,5.626616843920667,3.75251509054326,19440.0,0.0,6992.0,743.0,25771.0,1552.0,7830.0,5222.0,5780.080482897384,0.0,5185.3118712273645,1575.4527162977868,1050.7042253521126,8043560.0,0.0,7215880.0,2192400.0,1462160.0
V,26S,VDSP13361,Bottom,반바지,VDSP13361K0001,250000,420,105000000,80769.23076923077,CQ251201132,KRW,주식회사 엠에스에프,2025-12-16,8.78700776085082,0.6920091980454154,2.837022132796781,0.5339177924691003,16.460908306984766,0.0,4.316613969531475,1.1346651336590976,12228.0,963.0,3948.0,743.0,22907.0,0.0,6007.0,1579.0,5106.338028169014,290.64386317907446,6913.581488933602,1812.9778672032194,476.559356136821,7105980.0,404460.0,9620940.0,2522940.0,663180.0
V,26S,VDTG10263,Bag,토드백,VDTG10263K0001,350000,500,175000000,134615.38461538462,CQ251201116,KRW,(주)에스씨인터내셔널,2025-12-15,13.23943661971831,3.5929864903707966,13.800661109514229,0.39450991664271345,5.776085081920092,0.0,5.4613394653636105,3.171888473699339,18424.0,5000.0,19205.0,549.0,8038.0,0.0,7600.0,4414.0,13717.303822937627,1796.4932451853983,2888.042540960046,2730.6697326818053,1585.9442368496696,19089000.0,2500000.0,4019000.0,3800000.0,2207000.0
V,26S,VDTG17163,Bag,토드백,VDTG17163K0001,330000,350,115500000,88846.15384615384,CQ251100735,KRW,주식회사한백티알,2025-11-11,1.9560218453578615,0.8263868927852832,8.465076171313596,0.4060074734119,11.238861741879852,0.0,3.3730957171601035,1.1562230526013222,2722.0,1150.0,11780.0,565.0,15640.0,0.0,4694.0,1609.0,3789.4869215291747,289.2354124748491,3933.6016096579483,1180.5835010060362,404.67806841046274,5273450.0,402500.0,5474000.0,1642900.0,563150.0
V,26S,VDTS20163,Inner,반팔카라티셔츠,VDTS20163K0001,210000,250,52500000,40384.61538461538,CQ251200370,USD,TESSELLATION INTERNATIONAL LIMITED,2025-12-04,10.940643863179075,0.0,2.8643288301235987,0.509485484334579,3.9997125610807704,0.0,2.6710261569416502,1.011066398390342,15225.0,0.0,3986.0,709.0,5566.0,0.0,3717.0,1407.0,3578.614544409313,0.0,999.9281402701926,667.7565392354126,252.76659959758553,4980000.0,0.0,1391500.0,929250.0,351750.0
V,26S,VDWJ10161,Outer,방풍자켓,VDWJ10161K0001,690000,300,207000000,159230.76923076922,CQ251200571,KRW,(주)신명훠스트,2025-12-10,24.17002012072435,0.0,12.238430583501007,0.6970393791319345,34.97987927565393,0.0,10.708536935901122,3.25668295487209,33635.0,0.0,17031.0,970.0,48678.0,0.0,14902.0,4532.0,11131.647025007187,0.0,10493.963782696179,3212.561080770337,977.0048864616269,15490800.0,0.0,14603400.0,4470600.0,1359600.0
V,26S,VDWJ14263,Outer,방풍자켓,VDWJ14263K0001,590000,450,265500000,204230.76923076922,CQ251200665,KRW,㈜원지아이엔씨,2025-12-10,15.353549870652488,0.0,9.74920954297212,0.7150043115837885,30.864472549583216,0.0,8.395372233400403,1.962489221040529,21366.0,0.0,13567.0,995.0,42951.0,0.0,11683.0,2731.0,11617.993676343778,0.0,13889.012647312447,3777.9175050301815,883.120149468238,16167600.0,0.0,19327950.0,5257350.0,1228950.0
V,26S,VDWJ31061,Outer,방풍자켓,VDWJ31061K0001,690000,800,552000000,424615.3846153846,CQ251201381,KRW,(주)기도산업,2025-12-19,15.020120724346077,0.0,8.100747341189997,0.7818338603046853,29.83544121874102,0.0,7.943374532911757,1.9107502155791896,20902.0,0.0,11273.0,1088.0,41519.0,0.0,11054.0,2659.0,19122.16154067261,0.0,23868.352974992817,6354.699626329406,1528.6001724633516,26610400.0,0.0,33215200.0,8843200.0,2127200.0
V,26S,VDWJ31361,Outer,방풍자켓,VDWJ31361K0001,790000,400,316000000,243076.92307692306,CQ251100865,KRW,원창물산 (주),2025-11-12,26.79793043978155,0.0,23.706524863466516,0.7566829548720897,32.19315895372234,0.0,12.404426559356137,12.075308996838173,37292.0,0.0,32990.0,1053.0,44800.0,0.0,17262.0,16804.0,20504.45530324806,0.0,12877.263581488936,4961.7706237424545,4830.123598735269,28534000.0,0.0,17920000.0,6904800.0,6721600.0
V,26S,VDWJ31461,Outer,방풍자켓,VDWJ31461K0001,1090000,550,599500000,461153.8461538461,CQ251100578,KRW,(주)신명훠스트,2025-11-10,39.41290600747342,0.0,32.949123311296354,0.6970393791319345,31.99985628054039,0.0,15.65464213854556,7.403707962058063,54847.0,0.0,45852.0,970.0,44531.0,0.0,21785.0,10303.0,40182.487783845936,0.0,17599.920954297213,8610.053176200057,4072.0393791319348,55917950.0,0.0,24492050.0,11981750.0,5666650.0
V,26S,VUKC18263,Outer,니트가디건,VUKC18263K0001,390000,150,58500000,45000.0,CQ251100530,KRW,(주) 마하니트,2025-11-07,6.467375682667433,0.0,2.8398965219890777,0.5914055763150331,14.599741304972694,0.0,3.5858005173900547,2.4468237999425124,9000.0,0.0,3952.0,823.0,20317.0,0.0,4990.0,3405.0,1484.8016671457315,0.0,2189.961195745904,537.8700776085082,367.02356999137686,2066250.0,0.0,3047550.0,748500.0,510750.0
V,26S,VUPT13361,Bottom,팬츠,VUPT13361K0001,310000,250,77500000,59615.38461538462,CQ251200714,KRW,주식회사 엠에스에프,2025-12-16,12.418079908019546,1.3840183960908308,2.5158091405576317,0.5109226789307273,17.95774647887324,0.0,5.14156366772061,2.148605921241736,17281.0,1926.0,3501.0,711.0,24990.0,0.0,7155.0,2990.0,3861.202931876976,346.0045990227077,4489.43661971831,1285.3909169301526,537.1514803104341,5373250.0,481500.0,6247500.0,1788750.0,747500.0
V,26S,VUPT13761,Bottom,팬츠,VUPT13761K0001,290000,250,72500000,55769.230769230766,CQ251200715,KRW,주식회사 엠에스에프,2025-12-16,9.900114975567693,1.3840183960908308,2.5158091405576317,0.5109226789307273,17.95774647887324,0.0,4.763581488933602,2.9282839896521993,13777.0,1926.0,3501.0,711.0,24990.0,0.0,6629.0,4075.0,3231.7116987640125,346.0045990227077,4489.43661971831,1190.8953722334006,732.0709974130498,4497250.0,481500.0,6247500.0,1657250.0,1018750.0
V,26S,VURS16963,Inner,반팔티셔츠,VURS16963K0001,170000,300,51000000,39230.769230769234,CQ251000984,USD,TESSELLATION INTERNATIONAL LIMITED,2025-10-28,6.294193733831561,5.9399252658810004,0.3478010922678931,0.509485484334579,7.190284564530038,0.0,2.9656510491520556,0.6532049439494108,8759.0,8266.0,484.0,709.0,10006.0,0.0,4127.0,909.0,2145.4440931302097,1781.9775797643001,2157.0853693590116,889.6953147456167,195.96148318482324,2985600.0,2479800.0,3001800.0,1238100.0,272700.0
V,26S,VURS17063,Inner,반팔티셔츠,VURS17063K0001,170000,200,34000000,26153.846153846152,CQ251000983,USD,TESSELLATION INTERNATIONAL LIMITED,2025-10-28,7.8564242598447835,5.140126473124462,0.3478010922678931,0.509485484334579,3.000143719459615,0.0,0.7516527737855706,0.73081345214142,10933.0,7153.0,484.0,709.0,4175.0,0.0,1046.0,1017.0,1742.742167289451,1028.0252946248925,600.028743891923,150.33055475711413,146.162690428284,2425200.0,1430600.0,835000.0,209200.0,203400.0
