브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,합의납기일,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
X,전년(25N),DKBG2105N,Bag,가방,DKBG2105NK0001,99000,800,79200000,58666.666666666664,CQ241002005,KRW,(주)씨앤에이치리미티드,2024-10-30,2024-12-26,4.632592592592593,0.45111111111111113,4.611851851851852,0.29777777777777775,3.974814814814815,0.0,2.0503703703703704,0.5740740740740741,6254.0,609.0,6226.0,402.0,5366.0,0.0,2768.0,775.0,7633.777777777777,360.8888888888889,3179.8518518518517,1640.2962962962963,459.25925925925924,10305600.0,487200.0,4292800.0,2214400.0,620000.0
X,전년(25N),DKBG2115N,Bag,가방,DKBG2115NK0001,79000,1300,102700000,76074.07407407407,CQ241001035,KRW,(주)씨앤에이치리미티드,2024-10-21,2024-12-26,2.491111111111111,0.4140740740740741,3.0074074074074075,0.29777777777777775,4.731851851851852,0.0,1.597037037037037,0.42444444444444446,3363.0,559.0,4060.0,402.0,6388.0,0.0,2156.0,573.0,7535.185185185185,538.2962962962963,6151.407407407408,2076.1481481481483,551.7777777777778,10172500.0,726700.0,8304400.0,2802800.0,744900.0
X,전년(25N),DKBK1405N,Bag,백팩,DKBK1405NK0001,149000,1000,149000000,110370.37037037036,CQ241201197,KRW,주식회사 제이엠플레닝,2024-12-27,2025-01-22,7.197037037037037,2.325925925925926,4.7155555555555555,0.29777777777777775,6.444444444444445,0.0,3.102222222222222,1.4703703703703703,9716.0,3140.0,6366.0,402.0,8700.0,0.0,4188.0,1985.0,12210.37037037037,2325.925925925926,6444.444444444444,3102.222222222222,1470.3703703703704,16484000.0,3140000.0,8700000.0,4188000.0,1985000.0
X,전년(25N),DKCP4095N,Headwear,운동모,DKCP4095NK0001,39000,800,31200000,23111.11111111111,CQ241101226,KRW,㈜유풍,2024-11-15,2025-02-05,1.3296296296296297,0.37037037037037035,0.8577777777777778,0.28296296296296297,1.6074074074074074,0.0,0.6244444444444445,1.0755555555555556,1795.0,500.0,1158.0,382.0,2170.0,0.0,843.0,1452.0,1976.2962962962963,296.2962962962963,1285.9259259259259,499.55555555555554,860.4444444444445,2668000.0,400000.0,1736000.0,674400.0,1161600.0
X,전년(25N),DKCP4105N,Headwear,운동모,DKCP4105NK0001,39000,800,31200000,23111.11111111111,CQ241101228,KRW,㈜유풍,2024-11-15,2024-12-19,0.9977777777777778,0.37037037037037035,1.0466666666666666,0.33037037037037037,1.548888888888889,0.0,0.5948148148148148,1.0740740740740742,1347.0,500.0,1413.0,446.0,2091.0,0.0,803.0,1450.0,1899.851851851852,296.2962962962963,1239.111111111111,475.85185185185185,859.2592592592592,2564800.0,400000.0,1672800.0,642400.0,1160000.0
X,전년(25N),DKCP4115N,Headwear,운동모,DKCP4115NK0001,49000,1700,83300000,61703.7037037037,CQ241101229,KRW,㈜유풍,2024-11-15,2024-12-19,1.4355555555555555,0.2962962962962963,2.108888888888889,0.30814814814814817,1.9918518518518518,0.0,0.8748148148148148,1.1325925925925926,1938.0,400.0,2847.0,416.0,2689.0,0.0,1181.0,1529.0,6549.407407407408,503.7037037037037,3386.1481481481483,1487.1851851851852,1925.4074074074074,8841700.0,680000.0,4571300.0,2007700.0,2599300.0
X,전년(25N),DKCP4145N,Headwear,운동모,DKCP4145NK0001,55000,1200,66000000,48888.88888888889,CQ241101230,KRW,㈜유풍,2024-11-15,2025-02-05,1.608148148148148,0.6296296296296297,1.3029629629629629,0.30814814814814817,2.314074074074074,0.0,0.8785185185185185,1.1074074074074074,2171.0,850.0,1759.0,416.0,3124.0,0.0,1186.0,1495.0,3863.1111111111113,755.5555555555555,2776.8888888888887,1054.2222222222222,1328.888888888889,5215200.0,1020000.0,3748800.0,1423200.0,1794000.0
X,전년(25N),DKCP4155N,Headwear,운동모,DKCP4155NK0001,49000,900,44100000,32666.666666666668,CQ241101231,KRW,㈜유풍,2024-11-15,2025-02-05,1.0785185185185184,0.48148148148148145,1.3155555555555556,0.30814814814814817,1.7733333333333334,0.0,0.697037037037037,1.0866666666666667,1456.0,650.0,1776.0,416.0,2394.0,0.0,941.0,1467.0,2432.0,433.3333333333333,1596.0,627.3333333333334,978.0,3283200.0,585000.0,2154600.0,846900.0,1320300.0
X,전년(25N),DKCR2125N,Bag,크로스백,DKCR2125NK0001,69000,1100,75900000,56222.22222222222,CQ241001036,KRW,(주)씨앤에이치리미티드,2024-10-21,2024-12-26,1.8933333333333333,0.3333333333333333,3.02,0.29777777777777775,3.68,0.0,1.3392592592592591,0.40074074074074073,2556.0,450.0,4077.0,402.0,4968.0,0.0,1808.0,541.0,5732.222222222223,366.6666666666667,4048.0,1473.1851851851852,440.81481481481484,7738500.0,495000.0,5464800.0,1988800.0,595100.0
X,전년(25N),DKCR2135N,Bag,크로스백,DKCR2135NK0001,59000,1100,64900000,48074.07407407407,CQ241002006,KRW,(주)씨앤에이치리미티드,2024-10-30,2024-12-26,1.7192592592592593,0.3333333333333333,2.774814814814815,0.29777777777777775,3.2111111111111112,0.0,1.2059259259259258,0.3844444444444444,2321.0,450.0,3746.0,402.0,4335.0,0.0,1628.0,519.0,5271.037037037037,366.6666666666667,3532.222222222222,1326.5185185185185,422.8888888888889,7115900.0,495000.0,4768500.0,1790800.0,570900.0
