브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
X,26S,DKAZ11061,Wear_etc,상하의 세트,DKAZ11061K0001,159000,3200,508800000,376888.8888888889,CQ251201646,KRW,티피나디아(주),2025-12-24,11.205797101449276,1.2442028985507247,2.4181159420289857,0.5521739130434783,8.450724637681159,0.0,2.798550724637681,4.975362318840579,15464.0,1717.0,3337.0,762.0,11662.0,0.0,3862.0,6866.0,45363.47826086956,3981.449275362319,27042.31884057971,8955.36231884058,15921.159420289854,62601600.0,5494400.0,37318400.0,12358400.0,21971200.0
X,26S,DKAZ12061,Wear_etc,상하의 세트,DKAZ12061K0001,159000,1800,286200000,212000.0,CQ260100016,KRW,티피나디아(주),2026-01-02,8.902898550724638,0.6652173913043479,4.304347826086956,0.5528985507246377,8.450724637681159,0.0,2.678985507246377,5.051449275362319,12286.0,918.0,5940.0,763.0,11662.0,0.0,3697.0,6971.0,24768.260869565216,1197.3913043478262,15211.304347826086,4822.173913043478,9092.608695652174,34180200.0,1652400.0,20991600.0,6654600.0,12547800.0
X,26S,DKAZ19063,Wear_etc,상하의 세트,DKAZ19063K0001,99000,1700,168300000,124666.66666666667,CQ260100278,KRW,티피나디아(주),2026-01-09,4.5318840579710145,2.2246376811594204,1.6471014492753624,0.372463768115942,6.91159420289855,0.0,1.8376811594202898,0.7739130434782608,6254.0,3070.0,2273.0,514.0,9538.0,0.0,2536.0,1068.0,11137.463768115942,3781.8840579710145,11749.710144927536,3124.0579710144925,1315.6521739130435,15369700.0,5219000.0,16214600.0,4311200.0,1815600.0
X,26S,DKAZ21063,Wear_etc,상하의 세트,DKAZ21063K0001,109000,1500,163500000,121111.11111111111,CQ260100406,KRW,티피나디아(주),2026-01-13,4.88768115942029,0.9014492753623189,1.3811594202898552,0.3804347826086957,6.91159420289855,0.0,1.6898550724637682,0.2847826086956522,6745.0,1244.0,1906.0,525.0,9538.0,0.0,2332.0,393.0,9973.913043478262,1352.1739130434783,10367.391304347826,2534.7826086956525,427.1739130434783,13764000.0,1866000.0,14307000.0,3498000.0,589500.0
X,26S,DKHD11061,Inner,후드티,DKHD11061K0001,69000,700,48300000,35777.77777777778,CQ260100298,KRW,(주)금담,2026-01-12,5.028260869565218,1.3768115942028984,0.586231884057971,0.2572463768115942,3.168840579710145,0.0,1.2195652173913043,2.621739130434783,6939.0,1900.0,809.0,355.0,4373.0,0.0,1683.0,3618.0,4110.217391304348,963.7681159420289,2218.1884057971015,853.695652173913,1835.217391304348,5672100.0,1330000.0,3061100.0,1178100.0,2532600.0
X,26S,DKMT11061,Inner,맨투맨,DKMT11061K0001,59000,1300,76700000,56814.81481481482,CQ260100300,KRW,(주)금담,2026-01-12,4.044927536231884,1.536231884057971,0.5289855072463768,0.2572463768115942,2.1130434782608694,0.0,0.9869565217391304,2.4043478260869566,5582.0,2120.0,730.0,355.0,2916.0,0.0,1362.0,3318.0,6280.507246376811,1997.1014492753623,2746.95652173913,1283.0434782608695,3125.6521739130435,8667100.0,2756000.0,3790800.0,1770600.0,4313400.0
X,26S,DKMT12061,Inner,맨투맨,DKMT12061K0001,59000,1800,106200000,78666.66666666667,CQ260100301,KRW,(주)금담,2026-01-12,4.058695652173913,1.536231884057971,0.5289855072463768,0.2572463768115942,2.1115942028985506,0.0,0.9884057971014493,2.4043478260869566,5601.0,2120.0,730.0,355.0,2914.0,0.0,1364.0,3318.0,8720.869565217392,2765.2173913043475,3800.869565217391,1779.1304347826087,4327.826086956522,12034800.0,3816000.0,5245200.0,2455200.0,5972400.0
X,26S,DKPD11061,Outer,패딩,DKPD11061K0001,179000,1000,179000000,132592.59259259258,CQ251201680,KRW,꼼드감므(주),2025-12-29,10.131884057971014,0.0,11.382608695652173,0.26014492753623186,10.350724637681159,0.0,3.8239130434782607,3.332608695652174,13982.0,0.0,15708.0,359.0,14284.0,0.0,5277.0,4599.0,21774.63768115942,0.0,10350.724637681158,3823.9130434782605,3332.608695652174,30049000.0,0.0,14284000.0,5277000.0,4599000.0
X,26S,DKPD12061,Outer,패딩,DKPD12061K0001,159000,1100,174900000,129555.55555555556,CQ251201148,KRW,(주) 엠에스디엔엠,2025-12-16,7.196376811594203,0.2956521739130435,6.354347826086957,0.23478260869565218,10.352173913043478,0.0,2.9036231884057973,0.5630434782608695,9931.0,408.0,8769.0,324.0,14286.0,0.0,4007.0,777.0,15164.057971014494,325.2173913043478,11387.391304347826,3193.985507246377,619.3478260869565,20926400.0,448800.0,15714600.0,4407700.0,854700.0
X,26S,DKPD14061,Outer,패딩,DKPD14061K0001,169000,2100,354900000,262888.8888888889,CQ251201681,KRW,꼼드감므(주),2025-12-29,6.147826086956521,0.0,7.984057971014493,0.26014492753623186,11.302898550724638,0.0,3.0521739130434784,2.896376811594203,8484.0,0.0,11018.0,359.0,15598.0,0.0,4212.0,3997.0,30223.260869565216,0.0,23736.08695652174,6409.565217391305,6082.391304347826,41708100.0,0.0,32755800.0,8845200.0,8393700.0
X,26S,DKPD15061,Outer,패딩,DKPD15061K0001,159000,1000,159000000,117777.77777777778,CQ251201188,KRW,(주) 엠에스디엔엠,2025-12-17,9.013043478260869,0.7391304347826086,6.0318840579710145,0.23478260869565218,10.352173913043478,0.0,3.136231884057971,0.6224637681159421,12438.0,1020.0,8324.0,324.0,14286.0,0.0,4328.0,859.0,15279.710144927534,739.1304347826086,10352.173913043478,3136.231884057971,622.4637681159421,21086000.0,1020000.0,14286000.0,4328000.0,859000.0
X,26S,DKPT11061,Bottom,팬츠,DKPT11061K0001,89000,1900,169100000,125259.25925925926,CQ260100439,KRW,(주) 와이에스코리아,2026-01-14,5.586956521739131,0.0,2.368840579710145,0.27753623188405796,6.167391304347826,0.0,1.694927536231884,1.317391304347826,7710.0,0.0,3269.0,383.0,8511.0,0.0,2339.0,1818.0,15643.333333333334,0.0,11718.04347826087,3220.36231884058,2503.0434782608695,21587800.0,0.0,16170900.0,4444100.0,3454200.0
X,26S,DKPT14061,Bottom,팬츠,DKPT14061K0001,69000,1300,89700000,66444.44444444444,CQ260100280,KRW,대원에프앤드씨 (주),2026-01-09,4.458695652173913,0.5942028985507246,1.1398550724637682,0.2572463768115942,3.8282608695652174,0.0,1.2021739130434783,0.24710144927536232,6153.0,820.0,1573.0,355.0,5283.0,0.0,1659.0,341.0,7612.536231884058,772.463768115942,4976.739130434783,1562.8260869565217,321.231884057971,10505300.0,1066000.0,6867900.0,2156700.0,443300.0
X,26S,DKPT15063,Bottom,팬츠,DKPT15063K0001,69000,800,55200000,40888.88888888889,CQ260100099,KRW,(주)금담,2026-01-06,3.2268115942028985,0.0,1.281159420289855,0.2572463768115942,4.647826086956521,0.0,1.098550724637681,0.6159420289855072,4453.0,0.0,1768.0,355.0,6414.0,0.0,1516.0,850.0,3812.1739130434785,0.0,3718.260869565217,878.8405797101449,492.75362318840575,5260800.0,0.0,5131200.0,1212800.0,680000.0
X,26S,DKRS64063,Inner,반팔티셔츠,DKRS64063K0001,59000,2000,118000000,87407.4074074074,CQ260100279,KRW,대원에프앤드씨 (주),2026-01-09,2.7355072463768115,0.927536231884058,0.8326086956521739,0.2572463768115942,2.1268115942028984,0.0,0.7949275362318841,0.4,3775.0,1280.0,1149.0,355.0,2935.0,0.0,1097.0,552.0,7650.724637681159,1855.072463768116,4253.623188405797,1589.855072463768,800.0,10558000.0,2560000.0,5870000.0,2194000.0,1104000.0
X,26S,DKTP11061,Bottom,트레이닝(하의),DKTP11061K0001,79000,1200,94800000,70222.22222222222,CQ260100233,KRW,(주) 엠에스디엔엠,2026-01-08,4.431159420289855,0.0,1.6217391304347826,0.20869565217391303,6.855072463768116,0.0,1.5492753623188407,0.2608695652173913,6115.0,0.0,2238.0,288.0,9460.0,0.0,2138.0,360.0,7513.913043478262,0.0,8226.08695652174,1859.1304347826087,313.04347826086956,10369200.0,0.0,11352000.0,2565600.0,432000.0
X,26S,DKTP13061,Bottom,트레이닝(하의),DKTP13061K0001,69000,1400,96600000,71555.55555555556,CQ260100238,KRW,(주) 엠에스디엔엠,2026-01-08,2.6710144927536232,0.0,2.136231884057971,0.20869565217391303,6.833333333333333,0.0,1.3971014492753624,0.2108695652173913,3686.0,0.0,2948.0,288.0,9430.0,0.0,1928.0,291.0,7022.31884057971,0.0,9566.666666666666,1955.9420289855072,295.2173913043478,9690800.0,0.0,13202000.0,2699200.0,407400.0
X,26S,DKTP24061,Bottom,트레이닝(하의),DKTP24061K0001,79000,800,63200000,46814.81481481482,CQ260100285,KRW,대원에프앤드씨 (주),2026-01-09,5.026811594202899,0.0,1.7956521739130435,0.2572463768115942,4.253623188405797,0.0,1.3289855072463768,0.29637681159420287,6937.0,0.0,2478.0,355.0,5870.0,0.0,1834.0,409.0,5663.768115942029,0.0,3402.8985507246375,1063.1884057971015,237.10144927536228,7816000.0,0.0,4696000.0,1467200.0,327200.0
X,26S,DKTP30061,Bottom,트레이닝(하의),DKTP30061K0001,69000,1200,82800000,61333.333333333336,CQ260100286,KRW,대원에프앤드씨 (주),2026-01-09,5.245652173913044,0.8840579710144928,1.4195652173913043,0.2572463768115942,5.316666666666666,0.0,1.5442028985507246,0.2898550724637681,7239.0,1220.0,1959.0,355.0,7337.0,0.0,2131.0,400.0,8306.95652173913,1060.8695652173913,6380.0,1853.0434782608695,347.82608695652175,11463600.0,1464000.0,8804400.0,2557200.0,480000.0
X,26S,DKTP34061,Bottom,트레이닝(하의),DKTP34061K0001,69000,700,48300000,35777.77777777778,CQ260100284,KRW,대원에프앤드씨 (주),2026-01-09,5.522463768115942,0.43478260869565216,1.1601449275362319,0.2572463768115942,3.615217391304348,0.0,1.28768115942029,0.29057971014492756,7621.0,600.0,1601.0,355.0,4989.0,0.0,1777.0,401.0,4857.898550724637,304.3478260869565,2530.6521739130435,901.376811594203,203.40579710144928,6703900.0,420000.0,3492300.0,1243900.0,280700.0
