section,key,value
prev_usd_cost_rate,,22.9
prev_krw_cost_rate,,22.9
usd_summary,,26SS_NON 시즌 USD 기준 원가율은 22.9%에서 23.0%로 +0.1%p 악화되었습니다. 주요 원인은 마진 원가율 +0.6%p 변동입니다.
krw_summary,,당년 USD 원가율 23.0%에서 환율 변동 효과로 당년 KRW 원가율은 23.5%로 나타났습니다.
action_1,,원가 구조 개선: 세부 항목별 원가율 모니터링 강화.
action_2,,소싱 다변화: 공급망 리스크 분산 및 원가 안정성 확보.
risk_1,,마진 리스크: 협력사 정상마진 확대(+0.60%p)로 납품단가 상승 압박 지속.
success_1,,원가 구조 분석: 세부 항목별 원가율 변화 추이 모니터링 및 개선 포인트 도출.
success_2,,공급망 안정화: 장기계약 및 소싱 다변화를 통한 원가 안정성 확보 전략 수립.
action summary,,"주요 액션: 원가 구조 개선, 소싱 다변화"
risk summary,,주요 리스크: 마진 리스크
success summary,,"성공 포인트: 원가 구조 분석, 공급망 안정화"
message,,"26SS_NON 시즌은 USD 기준 +0.1%p 악화, KRW 기준 +0.6%p 악화되었습니다. 환율 안정이 KRW 원가율에 미치는 영향이 제한적이었습니다. 단기적으로는 세부 항목별 원가 모니터링, 중기적으로는 소싱 다변화와 공임 효율화를 통한 구조적 원가 방어가 필요합니다."
metrics_title,,주요 지표 요약
metrics_volume,,생산 수량은 전시즌 대비 -46.0% 감소했습니다.
metrics_tag,,평균 TAG는 전시즌 대비 -4.5% 하락했습니다.
metrics_fx,,환율은 1350원에서 1380원으로 +2.2% 상승했습니다.
metrics_conclusion,,"전체적으로 수량 -46.0% 변동, TAG -4.5% 변동, 원가 -4.1% 변동으로 안정세를 보였습니다."
executive_summary,,"26SS_NON 시즌 원가 분석 결과, USD 기준 원가율은 22.9%에서 23.0%로 +0.1%p 악화되었습니다. KRW 기준으로는 +0.6%p 악화되었으며, 환율 변동이 영향을 미쳤습니다. 세부 항목별 원가율 모니터링과 구조적 원가 절감 노력이 필요합니다."
