브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
V,24F,VDBK31146,Bag,백팩,VDBK31146C0001,390000,40,15600000,11729.323308270677,CQ240900107,KRW,주식회사한백티알,2024-09-06,4.0804347826086955,1.673913043478261,16.27173913043478,0.8,18.1231884057971,0.0,6.022463768115942,9.01231884057971,5631.0,2310.0,22455.0,1104.0,25010.0,0.0,8311.0,12437.0,846.086956521739,66.95652173913044,724.927536231884,240.89855072463766,360.4927536231884,1167600.0,92400.0,1000400.0,332440.0,497480.0
V,24F,VDBK31146,Bag,백팩,VDBK31146K0001,390000,160,62400000,46917.29323308271,CQ240900038,KRW,주식회사한백티알,2024-09-04,4.0804347826086955,1.673913043478261,16.27173913043478,0.8,18.1231884057971,0.0,6.022463768115942,9.01231884057971,5631.0,2310.0,22455.0,1104.0,25010.0,0.0,8311.0,12437.0,3384.347826086956,267.82608695652175,2899.710144927536,963.5942028985506,1441.9710144927535,4670400.0,369600.0,4001600.0,1329760.0,1989920.0
V,24F,VDCR31246,Bag,크로스백,VDCR31246K0001,350000,200,70000000,52631.57894736842,CQ240900039,KRW,주식회사한백티알,2024-09-04,3.841304347826087,0.8768115942028986,16.25072463768116,0.8,12.139855072463767,0.0,4.966666666666667,6.752173913043478,5301.0,1210.0,22426.0,1104.0,16753.0,0.0,6854.0,9318.0,4178.40579710145,175.36231884057972,2427.9710144927535,993.3333333333334,1350.4347826086955,5766200.0,242000.0,3350600.0,1370800.0,1863600.0
V,24F,VDDH30145,Outer,반팔다운,VDDH30145K0001,990000,100,99000000,74436.09022556391,CQ240800353,KRW,미성에프씨,2024-08-11,19.934782608695652,0.0,30.970289855072465,0.9239130434782609,37.80434782608695,0.0,13.306521739130435,6.515942028985507,27510.0,0.0,42739.0,1275.0,52170.0,0.0,18363.0,8992.0,5182.898550724638,0.0,3780.4347826086955,1330.6521739130435,651.5942028985507,7152400.0,0.0,5217000.0,1836300.0,899200.0
V,24F,VDDH30245,Outer,반팔다운,VDDH30245K0001,1090000,200,218000000,163909.77443609023,CQ240700222,KRW,주식회사 세종티에프,2024-07-17,13.857971014492753,0.0,42.665942028985505,1.0050724637681159,29.506521739130434,0.0,12.904347826086957,7.888405797101449,19124.0,0.0,58879.0,1387.0,40719.0,0.0,17808.0,10886.0,11505.797101449274,0.0,5901.304347826087,2580.8695652173915,1577.68115942029,15878000.0,0.0,8143800.0,3561600.0,2177200.0
V,24F,VDDH36145,Outer,반팔다운,VDDH36145K0001,1090000,100,109000000,81954.88721804511,CQ240700671,KRW,주식회사 세종티에프,2024-07-17,13.81304347826087,0.0,27.968115942028984,1.0050724637681159,34.42463768115942,0.0,11.431159420289855,8.660144927536232,19062.0,0.0,38596.0,1387.0,47506.0,0.0,15775.0,11951.0,4278.623188405798,0.0,3442.4637681159415,1143.1159420289855,866.0144927536231,5904500.0,0.0,4750600.0,1577500.0,1195100.0
V,24F,VDDH36345,Outer,반팔다운,VDDH36345K0001,1090000,100,109000000,81954.88721804511,CQ240700672,KRW,주식회사 세종티에프,2024-07-17,25.844202898550726,0.0,27.784782608695654,1.0050724637681159,34.42463768115942,0.0,13.207971014492754,9.546376811594202,35665.0,0.0,38343.0,1387.0,47506.0,0.0,18227.0,13174.0,5463.40579710145,0.0,3442.4637681159415,1320.7971014492755,954.6376811594203,7539500.0,0.0,4750600.0,1822700.0,1317400.0
V,24F,VDDJ10246,Outer,다운점퍼,VDDJ10246C0001,1390000,940,1306600000,982406.015037594,CQ240900540,KRW,원전교역,2024-09-25,40.447826086956525,4.434782608695652,74.11521739130434,1.3507246376811595,28.369565217391305,0.0,22.105072463768117,6.785507246376811,55818.0,6120.0,102279.0,1864.0,39150.0,0.0,30505.0,9364.0,108958.9420289855,4168.695652173913,26667.391304347828,20778.76811594203,6378.376811594203,150363340.0,5752800.0,36801000.0,28674700.0,8802160.0
V,24F,VDDJ10246,Outer,다운점퍼,VDDJ10246K0001,1390000,200,278000000,209022.55639097744,CQ240900539,KRW,원전교역,2024-09-25,40.447826086956525,4.434782608695652,74.11521739130434,1.3507246376811595,28.369565217391305,0.0,22.105072463768117,6.785507246376811,55818.0,6120.0,102279.0,1864.0,39150.0,0.0,30505.0,9364.0,23182.753623188404,886.9565217391305,5673.913043478261,4421.014492753623,1357.1014492753623,31992200.0,1224000.0,7830000.0,6101000.0,1872800.0
V,24F,VDDJ10446,Outer,다운점퍼,VDDJ10446K0001,1290000,585,754650000,567406.015037594,CQ240800158,KRW,어패럴테크,2024-08-07,40.50869565217391,0.0,49.46304347826087,1.6615942028985506,37.80724637681159,0.0,19.166666666666668,5.855797101449276,55902.0,0.0,68259.0,2293.0,52174.0,0.0,26450.0,8081.0,53605.50000000001,0.0,22117.23913043478,11212.5,3425.641304347826,73975590.0,0.0,30521790.0,15473250.0,4727385.0
V,24F,VDDJ10546,Outer,다운점퍼,VDDJ10546K0001,1590000,250,397500000,298872.1804511278,CQ241000052,KRW,원전교역,2024-10-07,47.78768115942029,3.4746376811594204,61.36231884057971,0.8166666666666667,47.93478260869565,0.0,24.08405797101449,7.33768115942029,65947.0,4795.0,84680.0,1127.0,66150.0,0.0,33236.0,10126.0,27491.666666666668,868.6594202898551,11983.695652173912,6021.014492753623,1834.4202898550725,37938500.0,1198750.0,16537500.0,8309000.0,2531500.0
V,24F,VDDJ10546,Outer,다운점퍼,VDDJ10546K0002,1590000,200,318000000,239097.74436090226,CQ241000063,KRW,원전교역,2024-12-26,17.815942028985507,2.544202898550725,25.391304347826086,0.8166666666666667,50.72463768115942,2.4282608695652175,14.471739130434782,18.152173913043477,24586.0,3511.0,35040.0,1127.0,70000.0,3351.0,19971.0,25050.0,9290.434782608696,508.84057971014494,10144.927536231884,2894.3478260869565,3630.4347826086955,12820800.0,702200.0,14000000.0,3994200.0,5010000.0
V,24F,VDDJ11045,Outer,다운점퍼,VDDJ11045C0001,690000,445,307050000,230864.66165413533,CQ240700335,KRW,원창물산 (주),2024-07-11,15.597826086956522,1.808695652173913,21.39710144927536,0.9978260869565218,23.18840579710145,0.0,9.298550724637682,2.131159420289855,21525.0,2496.0,29528.0,1377.0,32000.0,0.0,12832.0,2941.0,16906.77536231884,804.8695652173913,10318.840579710144,4137.855072463769,948.3659420289855,23331350.0,1110720.0,14240000.0,5710240.0,1308745.0
V,24F,VDDJ11045,Outer,다운점퍼,VDDJ11045I0001,690000,80,55200000,41503.759398496244,CQ240700336,KRW,원창물산 (주),2024-07-11,15.597826086956522,1.808695652173913,21.39710144927536,0.9978260869565218,23.18840579710145,0.0,9.298550724637682,2.131159420289855,21525.0,2496.0,29528.0,1377.0,32000.0,0.0,12832.0,2941.0,3039.4202898550725,144.69565217391303,1855.072463768116,743.8840579710145,170.4927536231884,4194400.0,199680.0,2560000.0,1026560.0,235280.0
V,24F,VDDJ11045,Outer,다운점퍼,VDDJ11045K0001,690000,240,165600000,124511.27819548872,CQ240700337,KRW,원창물산 (주),2024-07-11,15.597826086956522,1.808695652173913,21.39710144927536,0.9978260869565218,23.18840579710145,0.0,9.298550724637682,2.131159420289855,21525.0,2496.0,29528.0,1377.0,32000.0,0.0,12832.0,2941.0,9118.260869565218,434.0869565217391,5565.217391304348,2231.6521739130435,511.47826086956525,12583200.0,599040.0,7680000.0,3079680.0,705840.0
V,24F,VDDJ11045,Outer,다운점퍼,VDDJ11045K0002,690000,65,44850000,33721.8045112782,CQ250200074,EUR,Duvetica International S.R.L,2025-02-04,0.0,0.0,0.0,0.0,69.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102415.0,0.0,0.0,0.0,0.0,0.0,4492.8,0.0,0.0,0.0,0.0,6656975.0,0.0,0.0
V,24F,VDDJ11546,Outer,다운점퍼,VDDJ11546I0002,990000,60,59400000,44661.65413533834,CQ240800309,KRW,원창물산 (주),2024-08-08,22.39927536231884,0.8289855072463768,43.78260869565217,1.2217391304347827,27.434782608695652,0.0,14.166666666666666,3.431159420289855,30911.0,1144.0,60420.0,1686.0,37860.0,0.0,19550.0,4735.0,4044.217391304348,49.73913043478261,1646.0869565217392,850.0,205.8695652173913,5581020.0,68640.0,2271600.0,1173000.0,284100.0
V,24F,VDDJ11546,Outer,다운점퍼,VDDJ11546I0003,990000,463,458370000,344639.0977443609,CQ240800308,KRW,원창물산 (주),2024-08-08,22.39927536231884,0.8289855072463768,43.78260869565217,1.2217391304347827,27.434782608695652,0.0,14.166666666666666,3.431159420289855,30911.0,1144.0,60420.0,1686.0,37860.0,0.0,19550.0,4735.0,31207.877536231885,383.8202898550724,12702.304347826088,6559.166666666666,1588.6268115942028,43066871.0,529672.0,17529180.0,9051650.0,2192305.0
V,24F,VDDJ11546,Outer,다운점퍼,VDDJ11546K0001,990000,292,289080000,217353.38345864663,CQ250200075,EUR,Duvetica International S.R.L,2025-02-04,0.0,0.0,0.0,0.0,105.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155875.0,0.0,0.0,0.0,0.0,0.0,30718.4,0.0,0.0,0.0,0.0,45515500.0,0.0,0.0
