브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(전년환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
X,24F,DKAZ31044,Wear_etc,상하의 세트,DKAZ31044K0001,129000,2100,270900000,203684.2105263158,CQ240700668,KRW,대원에프앤드씨 (주),2024-07-16,8.028148148148148,3.9555555555555557,1.3777777777777778,0.3340740740740741,5.2592592592592595,0.0,2.234814814814815,0.4066666666666667,10838.0,5340.0,1860.0,451.0,7100.0,0.0,3017.0,549.0,20453.999999999996,8306.666666666668,11044.444444444445,4693.111111111111,854.0,27612900.0,11214000.0,14910000.0,6335700.0,1152900.0
X,24F,DKAZ31044,Wear_etc,상하의 세트,DKAZ31044K0002,129000,800,103200000,77593.98496240602,CQ240800430,KRW,대원에프앤드씨 (주),2024-08-16,8.028148148148148,3.9555555555555557,1.3777777777777778,0.3340740740740741,5.2592592592592595,0.0,2.234814814814815,0.4066666666666667,10838.0,5340.0,1860.0,451.0,7100.0,0.0,3017.0,549.0,7792.0,3164.4444444444443,4207.407407407408,1787.8518518518517,325.3333333333333,10519200.0,4272000.0,5680000.0,2413600.0,439200.0
X,24F,DKDJ53046,Outer,다운점퍼,DKDJ53046K0001,249000,1200,298800000,224661.65413533835,CQ240700606,KRW,주식회사 디케이피플스,2024-08-01,10.857037037037037,0.2962962962962963,12.911111111111111,0.2644444444444444,10.113333333333333,0.0,4.101481481481481,0.9748148148148148,14657.0,400.0,17430.0,357.0,13653.0,0.0,5537.0,1316.0,28839.11111111111,355.55555555555554,12136.0,4921.777777777777,1169.7777777777778,38932800.0,480000.0,16383600.0,6644400.0,1579200.0
X,24F,DKDJ53046,Outer,다운점퍼,DKDJ53046K0002,249000,500,124500000,93609.02255639098,CQ240800449,KRW,주식회사 디케이피플스,2024-08-20,12.368148148148148,0.2962962962962963,15.460740740740741,0.2644444444444444,10.248888888888889,0.0,4.605185185185185,8.452592592592593,16697.0,400.0,20872.0,357.0,13836.0,0.0,6217.0,11411.0,14046.666666666668,148.14814814814815,5124.444444444444,2302.5925925925926,4226.2962962962965,18963000.0,200000.0,6918000.0,3108500.0,5705500.0
X,24F,DKDJ54046,Outer,다운점퍼,DKDJ54046K0001,249000,1000,249000000,187218.04511278195,CQ240701120,KRW,꼼드감므(주),2024-07-29,7.112592592592593,0.0,10.442962962962962,0.26666666666666666,8.17851851851852,0.0,3.0881481481481483,0.725925925925926,9602.0,0.0,14098.0,360.0,11041.0,0.0,4169.0,980.0,17822.222222222223,0.0,8178.518518518519,3088.1481481481483,725.925925925926,24060000.0,0.0,11041000.0,4169000.0,980000.0
X,24F,DKDJ56046,Outer,다운점퍼,DKDJ56046K0001,259000,5300,1372700000,1032105.2631578947,CQ240600100,KRW,노바비젼코리아(주),2024-06-03,7.797777777777778,0.554074074074074,20.072592592592592,0.2651851851851852,8.105925925925925,0.0,4.383703703703704,1.3237037037037036,10527.0,748.0,27098.0,358.0,10943.0,0.0,5918.0,1787.0,149118.44444444447,2936.5925925925926,42961.4074074074,23233.62962962963,7015.629629629629,201309900.0,3964400.0,57997900.0,31365400.0,9471100.0
X,24F,DKDJ57046,Outer,다운점퍼,DKDJ57046K0001,299000,9000,2691000000,2023308.2706766918,CQ240500331,KRW,주식회사 디케이피플스,2024-05-10,9.169629629629629,0.5925925925925926,22.754814814814814,0.26666666666666666,8.378518518518518,0.0,4.907407407407407,1.3007407407407408,12379.0,800.0,30719.0,360.0,11311.0,0.0,6625.0,1756.0,289720.0,5333.333333333333,75406.66666666667,44166.666666666664,11706.666666666666,391122000.0,7200000.0,101799000.0,59625000.0,15804000.0
X,24F,DKDJ58046,Outer,다운점퍼,DKDJ58046K0001,369000,2500,922500000,693609.022556391,CQ240701104,KRW,(주) 엠에스디엔엠,2024-07-26,9.547407407407407,0.0,29.062962962962963,0.2740740740740741,9.916296296296297,0.0,5.822962962962963,1.5696296296296297,12889.0,0.0,39235.0,370.0,13387.0,0.0,7861.0,2119.0,97211.11111111111,0.0,24790.74074074074,14557.407407407407,3924.0740740740744,131235000.0,0.0,33467500.0,19652500.0,5297500.0
X,24F,DKDJ59046,Outer,다운점퍼,DKDJ59046K0001,239000,2300,549700000,413308.2706766917,CQ240601162,KRW,꼼드감므(주),2024-06-25,8.057037037037038,0.0,9.414814814814815,0.2644444444444444,8.091111111111111,0.0,3.0674074074074076,0.7229629629629629,10877.0,0.0,12710.0,357.0,10923.0,0.0,4141.0,976.0,40793.481481481474,0.0,18609.555555555555,7055.037037037037,1662.8148148148148,55071200.0,0.0,25122900.0,9524300.0,2244800.0
X,24F,DKDJ59046,Outer,다운점퍼,DKDJ59046K0002,239000,800,191200000,143759.3984962406,CQ241101582,KRW,꼼드감므(주),2024-11-25,14.856296296296296,0.0,11.88,0.2644444444444444,8.065185185185186,0.0,4.176296296296297,5.562962962962963,20056.0,0.0,16038.0,357.0,10888.0,0.0,5638.0,7510.0,21600.59259259259,0.0,6452.148148148149,3341.0370370370374,4450.37037037037,29160800.0,0.0,8710400.0,4510400.0,6008000.0
X,24F,DKDJ62046,Outer,다운점퍼,DKDJ62046K0001,239000,1000,239000000,179699.24812030076,CQ240700964,KRW,주식회사 아라움,2024-07-23,5.651111111111111,0.0,11.81037037037037,0.2651851851851852,9.102962962962962,0.0,3.1874074074074072,0.7222222222222222,7629.0,0.0,15944.0,358.0,12289.0,0.0,4303.0,975.0,17726.666666666668,0.0,9102.962962962962,3187.4074074074074,722.2222222222222,23931000.0,0.0,12289000.0,4303000.0,975000.0
X,24F,DKDJ71046,Outer,다운점퍼,DKDJ71046K0001,149000,2800,417200000,313684.2105263158,CQ240800320,KRW,(주)기도산업,2024-08-12,8.984444444444444,0.0,6.546666666666667,0.23851851851851852,7.173333333333333,0.0,2.7244444444444444,0.642962962962963,12129.0,0.0,8838.0,322.0,9684.0,0.0,3678.0,868.0,44154.96296296296,0.0,20085.333333333332,7628.444444444444,1800.2962962962963,59609200.0,0.0,27115200.0,10298400.0,2430400.0
X,24F,DKDJ73046,Outer,다운점퍼,DKDJ73046K0001,189000,1600,302400000,227368.42105263157,CQ240700862,KRW,(주)기도산업,2024-07-24,6.847407407407408,0.0,7.319259259259259,0.1925925925925926,9.200740740740741,0.0,2.8044444444444445,0.5837037037037037,9244.0,0.0,9881.0,260.0,12421.0,0.0,3786.0,788.0,22974.814814814814,0.0,14721.185185185186,4487.111111111111,933.925925925926,31016000.0,0.0,19873600.0,6057600.0,1260800.0
X,24F,DKDJ75046,Outer,다운점퍼,DKDJ75046K0001,189000,1470,277830000,208894.73684210525,CQ240800168,KRW,(주)기도산업,2024-08-07,9.508888888888889,0.5185185185185185,9.577777777777778,0.2651851851851852,9.222222222222221,0.0,3.4592592592592593,0.7874074074074074,12837.0,700.0,12930.0,358.0,12450.0,0.0,4670.0,1063.0,28447.22222222222,762.2222222222222,13556.666666666666,5085.111111111111,1157.488888888889,38403750.0,1029000.0,18301500.0,6864900.0,1562610.0
X,24F,DKDJ76046,Outer,다운점퍼,DKDJ76046K0001,189000,1100,207900000,156315.7894736842,CQ240800317,KRW,(주)기도산업,2024-08-09,10.668888888888889,0.0,5.908148148148148,0.2644444444444444,9.222222222222221,0.0,3.0955555555555554,0.6866666666666666,14403.0,0.0,7976.0,357.0,12450.0,0.0,4179.0,927.0,18525.62962962963,0.0,10144.444444444443,3405.111111111111,755.3333333333333,25009600.0,0.0,13695000.0,4596900.0,1019700.0
X,24F,DKDJ77046,Outer,다운점퍼,DKDJ77046K0001,239000,3200,764800000,575037.5939849624,CQ240700967,KRW,주식회사 아라움,2024-07-23,6.732592592592592,0.0,12.607407407407408,0.2644444444444444,9.102962962962962,0.0,3.4133333333333336,0.7977777777777778,9089.0,0.0,17020.0,357.0,12289.0,0.0,4608.0,1077.0,62734.22222222222,0.0,29129.48148148148,10922.666666666668,2552.888888888889,84691200.0,0.0,39324800.0,14745600.0,3446400.0
X,24F,DKDJ80046,Outer,다운점퍼,DKDJ80046K0001,309000,2400,741600000,557593.984962406,CQ240800411,KRW,주식회사 디케이피플스,2024-08-14,10.171851851851851,0.0,21.59037037037037,0.2637037037037037,12.779259259259259,0.0,5.345185185185185,1.2940740740740742,13732.0,0.0,29147.0,356.0,17252.0,0.0,7216.0,1747.0,76862.22222222222,0.0,30670.222222222223,12828.444444444445,3105.777777777778,103764000.0,0.0,41404800.0,17318400.0,4192800.0
X,24F,DKDJ81046,Outer,다운점퍼,DKDJ81046K0001,399000,2700,1077300000,810000.0,CQ240800486,KRW,주식회사 디케이피플스,2024-08-20,13.732592592592592,0.0,31.89925925925926,0.2651851851851852,12.771851851851851,0.0,7.008148148148148,1.8488888888888888,18539.0,0.0,43064.0,358.0,17242.0,0.0,9461.0,2496.0,123922.0,0.0,34484.0,18922.0,4992.0,167294700.0,0.0,46553400.0,25544700.0,6739200.0
X,24F,DKDJ82046,Outer,다운점퍼,DKDJ82046K0001,169000,1300,219700000,165187.96992481203,CQ240701052,KRW,(주)기도산업,2024-07-25,6.608148148148148,0.0,8.95111111111111,0.23851851851851852,9.200740740740741,0.0,2.971111111111111,1.0303703703703704,8921.0,0.0,12084.0,322.0,12421.0,0.0,4011.0,1391.0,20537.11111111111,0.0,11960.962962962964,3862.4444444444443,1339.4814814814815,27725100.0,0.0,16147300.0,5214300.0,1808300.0
X,24F,DKDJ82046,Outer,다운점퍼,DKDJ82046K0002,169000,500,84500000,63533.83458646617,CQ240701082,KRW,(주)기도산업,2024-07-25,7.28,0.0,10.471851851851852,0.23851851851851852,9.200740740740741,0.0,3.234074074074074,0.76,9828.0,0.0,14137.0,322.0,12421.0,0.0,4366.0,1026.0,8995.185185185186,0.0,4600.37037037037,1617.037037037037,380.0,12143500.0,0.0,6210500.0,2183000.0,513000.0
X,24F,DKDJ83046,Outer,다운점퍼,DKDJ83046K0001,209000,1300,271700000,204285.7142857143,CQ240701080,KRW,(주) 엠에스디엔엠,2024-07-25,11.374074074074073,0.0,10.352592592592593,0.2651851851851852,11.245185185185186,0.0,3.9562962962962964,0.8933333333333333,15355.0,0.0,13976.0,358.0,15181.0,0.0,5341.0,1206.0,28589.407407407405,0.0,14618.74074074074,5143.185185185185,1161.3333333333333,38595700.0,0.0,19735300.0,6943300.0,1567800.0
