브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
X,25F,DKAZ11054,Wear_etc,상하의 세트,DKAZ11054K0001,129000,"2,500",322500000,238888.8889,CQ250700629,KRW,주식회사 에이치에스소싱,2025-07-23,6.288571429,1.928571429,1.112857143,0.372857143,3.124285714,0,1.494285714,0.329285714,8804,2700,1558,522,4374,0,2092,461,19435.71429,4821.428571,7810.714286,3735.714286,823.2142857,27210000,6750000,10935000,5230000,1152500
X,25F,DKAZ12054,Wear_etc,상하의 세트,DKAZ12054K0001,129000,"2,200",283800000,210222.2222,CQ250900683,KRW,대원에프앤드씨 (주),2025-09-16,6.810714286,1.971428571,1.132142857,0.297142857,5.161428571,0,1.809285714,1.051428571,9535,2760,1585,416,7226,0,2533,1472,18128,4337.142857,11355.14286,3980.428571,2313.142857,25379200,6072000,15897200,5572600,3238400
X,25F,DKAZ21054,Wear_etc,상하의 세트,DKAZ21054K0001,149000,"2,000",298000000,220740.7407,CQ250900001,KRW,꼼드감므(주),2025-09-01,7.347142857,0.291428571,4.677857143,0.426428571,10.805,0,2.774285714,1.823571429,10286,408,6549,597,15127,0,3884,2553,24902.85714,582.8571429,21610,5548.571429,3647.142857,34864000,816000,30254000,7768000,5106000
X,25F,DKAZ51056,Wear_etc,상하의 세트,DKAZ51056K0001,139000,"1,600",222400000,164740.7407,CQ250700487,KRW,티피나디아(주),2025-07-16,7.632857143,0.582857143,2.836428571,0.387142857,6.835,0,2.146428571,0.453571429,10686,816,3971,542,9569,0,3005,635,17370.28571,932.5714286,10936,3434.285714,725.7142857,24318400,1305600,15310400,4808000,1016000
X,25F,DKDJ52056,Outer,다운점퍼,DKDJ52056K0001,189000,"1,400",264600000,196000,CQ250900455,KRW,(주) 엠에스디엔엠,2025-09-09,15.87785714,0,8.306428571,0.231428571,10.9,0,4.21,0.987857143,22229,0,11629,324,15260,0,5894,1383,34182,0,15260,5894,1383,47854800,0,21364000,8251600,1936200
X,25F,DKDJ53056,Outer,다운점퍼,DKDJ53056K0001,279000,"4,000",1116000000,826666.6667,CQ250900737,KRW,주식회사 아라움,2025-09-19,9.060714286,0.25,25.05071429,0.356428571,7.940714286,0,5.076428571,1.037857143,12685,350,35071,499,11117,0,7107,1453,137871.4286,1000,31762.85714,20305.71429,4151.428571,193020000,1400000,44468000,28428000,5812000
X,25F,DKDJ54056,Outer,다운점퍼,DKDJ54056K0001,239000,"5,000",1195000000,885185.1852,CQ250900561,KRW,주식회사 아라움,2025-09-12,8.692857143,0.25,14.47714286,0.356428571,7.940714286,0,3.763571429,0.958571429,12170,350,20268,499,11117,0,5269,1342,117632.1429,1250,39703.57143,18817.85714,4792.857143,164685000,1750000,55585000,26345000,6710000
X,25F,DKDJ55056,Outer,다운점퍼,DKDJ55056K0001,269000,"1,300",349700000,259037.037,CQ250800475,KRW,(주)아이보리,2025-08-22,17.83571429,0.400714286,10.99857143,0.327857143,8.840714286,0,4.569285714,1.182857143,24970,561,15398,459,12377,0,6397,1656,37910.78571,520.9285714,11492.92857,5940.071429,1537.714286,53075100,729300,16090100,8316100,2152800
X,25F,DKDJ55056,Outer,다운점퍼,DKDJ55056K0002,269000,"1,200",322800000,239111.1111,CQ250800476,KRW,(주)아이보리,2025-08-22,17.76428571,0.400714286,10.86214286,0.327857143,8.840714286,0,4.544285714,1.551428571,24870,561,15207,459,12377,0,6362,2172,34745.14286,480.8571429,10608.85714,5453.142857,1861.714286,48643200,673200,14852400,7634400,2606400
X,25F,DKDJ56056,Outer,다운점퍼,DKDJ56056K0001,249000,"2,400",597600000,442666.6667,CQ250800466,KRW,(주)엠에스에이,2025-08-22,7.712857143,0.357142857,13.53928571,0.31,9.822857143,0,3.772142857,0.877857143,10798,500,18955,434,13752,0,5281,1229,51749.14286,857.1428571,23574.85714,9053.142857,2106.857143,72448800,1200000,33004800,12674400,2949600
X,25F,DKDJ57056,Outer,다운점퍼,DKDJ57056K0001,249000,"1,700",423300000,313555.5556,CQ250800468,KRW,(주)엠에스에이,2025-08-22,6.990714286,0.640714286,12.01142857,0.308571429,9.822857143,0,3.535714286,1.221428571,9787,897,16816,432,13752,0,4950,1710,32828.21429,1089.214286,16698.85714,6010.714286,2076.428571,45959500,1524900,23378400,8415000,2907000
X,25F,DKDJ57056,Outer,다운점퍼,DKDJ57056K0002,249000,800,199200000,147555.5556,CQ250800469,KRW,(주)엠에스에이,2025-08-22,6.990714286,0.640714286,12.01142857,0.308571429,9.822857143,0,3.535714286,1.221428571,9787,897,16816,432,13752,0,4950,1710,15448.57143,512.5714286,7858.285714,2828.571429,977.1428571,21628000,717600,11001600,3960000,1368000
X,25F,DKDJ58056,Outer,다운점퍼,DKDJ58056K0001,249000,"3,100",771900000,571777.7778,CQ250800713,KRW,꼼드감므(주),2025-08-29,10.43714286,0,10.24714286,0.349285714,8.349285714,0,3.484285714,0.858571429,14612,0,14346,489,11689,0,4878,1202,65204.07143,0,25882.78571,10801.28571,2661.571429,91285700,0,36235900,15121800,3726200
X,25F,DKDJ58056,Outer,다운점퍼,DKDJ58056K0002,249000,900,224100000,166000,CQ250800714,KRW,꼼드감므(주),2025-08-29,6.414285714,0,10.045,0.349285714,8.349285714,0,2.977142857,0.689285714,8980,0,14063,489,11689,0,4168,965,15127.71429,0,7514.357143,2679.428571,620.3571429,21178800,0,10520100,3751200,868500
X,25F,DKDJ59056,Outer,다운점퍼,DKDJ59056K0001,289000,"1,700",491300000,363925.9259,CQ250900476,KRW,(주)아이보리,2025-09-09,15.81142857,0.400714286,13.15642857,0.327857143,9.926428571,0,4.715714286,1.188571429,22136,561,18419,459,13897,0,6602,1664,49802.71429,681.2142857,16874.92857,8016.714286,2020.571429,69723800,953700,23624900,11223400,2828800
X,25F,DKDJ60056,Outer,다운점퍼,DKDJ60056K0001,299000,"4,000",1196000000,885925.9259,CQ250900478,KRW,(주)아이보리,2025-09-09,21.70142857,0.400714286,15.17785714,0.327857143,8.933571429,0,5.545714286,1.505,30382,561,21249,459,12507,0,7764,2107,148828.5714,1602.857143,35734.28571,22182.85714,6020,208360000,2244000,50028000,31056000,8428000
