브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
M,25F,3ABNB0156,Acc_etc,비니,3ABNB0156D0001,43000,420,18060000,14109.375,CQ250601293,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-23,1.1142,0.32,0.0357,0.146,1.8,0.035211268,0.4905,0.0932,1582,454,51,207,2556,50,696,132,559.0667324,134.4,756,206.01,39.144,793800,190680,1073520,292320,55440
M,25F,3ABNB0156,Acc_etc,비니,3ABNB0156G0001,43000,140,6020000,4703.125,CQ250601294,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-23,1.1142,0.32,0.0357,0.146,1.8,0.035211268,0.4905,0.0932,1582,454,51,207,2556,50,696,132,186.3555775,44.8,252,68.67,13.048,264600,63560,357840,97440,18480
M,25F,3ABNB0156,Acc_etc,비니,3ABNB0156H0001,43000,420,18060000,14109.375,CQ250601295,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-23,1.1142,0.32,0.0357,0.146,1.8,0.035211268,0.4905,0.0932,1582,454,51,207,2556,50,696,132,559.0667324,134.4,756,206.01,39.144,793800,190680,1073520,292320,55440
M,25F,3ABNB0156,Acc_etc,비니,3ABNB0156K0001,43000,4000,172000000,134375,CQ250600670,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-12,1.1142,0.32,0.0357,0.146,1.8,0.035211268,0.4905,0.0932,1582,454,51,207,2556,50,696,132,5324.44507,1280,7200,1962,372.8,7560000,1816000,10224000,2784000,528000
M,25F,3ABNB0256,Acc_etc,비니,3ABNB0256D0001,39000,600,23400000,18281.25,CQ250601296,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-23,0.5896,0.7,0.0357,0.146,1.62,0.035211268,0.4418,0.0627,837,994,51,207,2300,50,627,89,483.9067606,420,972,265.08,37.62,687000,596400,1380000,376200,53400
M,25F,3ABNB0256,Acc_etc,비니,3ABNB0256G0001,39000,20,780000,609.375,CQ250601297,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-23,0.5896,0.7,0.0357,0.146,1.62,0.035211268,0.4418,0.0627,837,994,51,207,2300,50,627,89,16.13022535,14,32.4,8.836,1.254,22900,19880,46000,12540,1780
M,25F,3ABNB0256,Acc_etc,비니,3ABNB0256K0001,39000,3500,136500000,106640.625,CQ250600671,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-12,0.5896,0.7,0.0357,0.146,1.62,0.035211268,0.4418,0.0627,837,994,51,207,2300,50,627,89,2822.789437,2450,5670,1546.3,219.45,4007500,3479000,8050000,2194500,311500
M,25F,3ABNB0256,Acc_etc,비니,3ABNB0256T0001,39000,120,4680000,3656.25,CQ250601298,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-23,0.5896,0.7,0.0357,0.146,1.62,0.035211268,0.4418,0.0627,837,994,51,207,2300,50,627,89,96.78135211,84,194.4,53.016,7.524,137400,119280,276000,75240,10680
M,25F,3ABNB0456,Acc_etc,비니,3ABNB0456C0001,39000,1390,54210000,42351.5625,CQ250600662,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-12,1.2784,0.64,0.0357,0.146,1.43,0.035211268,0.5076,0.0665,1815,908,51,207,2031,50,721,94,2078.482662,889.6,1987.7,705.564,92.435,2950970,1262120,2823090,1002190,130660
M,25F,3ABNB0456,Acc_etc,비니,3ABNB0456C0002,39000,14960,583440000,455812.5,CQ250601324,USD,"Nantong Foremost Garments&Accessories Co.,Ltd",2025-06-23,1.2784,0.64,0.0357,0.146,1.43,0.035211268,0.5076,0.0665,1815,908,51,207,2031,50,721,94,22369.85656,9574.4,21392.8,7593.696,994.84,31760080,13583680,30383760,10786160,1406240
