브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,TAG_총금액,TAG_USD금액(24F환율),원가견적번호,발주통화,제조업체,견적서제출일자,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD) 공임,(USD)본사공급자재,(USD)_정상마진,(USD)_경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)본사공급자재,(KRW)_정상마진,(KRW)_경비,USD_재료계(원/부/택/본공)_총금액(단가×수량),USD_아트웍_총금액(단가×수량),USD_공임_총금액(단가×수량),USD_정상마진_총금액(단가×수량),USD_경비_총금액(단가×수량),KRW_재료계(원/부/택/본공)_총금액(단가×수량),KRW_아트웍_총금액(단가×수량),KRW_공임_총금액(단가×수량),KRW_정상마진_총금액(단가×수량),KRW_경비_총금액(단가×수량)
I,25F,7ABNB0156,Headwear,비니,7ABNB0156K0001,39000,3000,117000000,88470.147,CQ250502380,KRW,주식회사 오짠,2025-05-29,0.763738656,0.587491274,0,0.157585895,3.497300996,0.03455831,0.727106847,0,1105,850,0,228,5060,50,1052,0,2867.648583,1762.473822,10491.90299,2181.320542,0,4149000,2550000,15180000,3156000,0
I,25F,7ABNB0656,Headwear,비니,7ABNB0656K0001,49000,1000,49000000,37051.60002,CQ250502374,KRW,주식회사 오짠,2025-05-29,0.653152063,0,0.248819834,0.187306041,4.644636896,0.03455831,0.832164111,0,945,0,360,271,6720,50,1204,0,1123.836249,0,4644.636896,832.1641105,0,1626000,0,6720000,1204000,0
I,25F,7ABNB2056,Headwear,비니,7ABNB2056C0001,33000,3684,121572000,91927.28813,CQ250502196,KRW,주식회사 조아니트,2025-05-28,0.657299061,0.841840437,1.507433493,0.158968227,1.174982548,0.03455831,0.627578914,0.008293994,951,1218,2181,230,1700,50,908,12,8687.82649,3101.340171,4328.635707,2312.000719,30.55507558,12569808,4487112,6262800,3345072,44208
I,25F,7ABNB2056,Headwear,비니,7ABNB2056K0001,33000,3500,115500000,87335.91434,CQ250502195,KRW,주식회사 조아니트,2025-05-28,0.657299061,0.841840437,1.507433493,0.158968227,1.174982548,0.03455831,0.627578914,0.008293994,951,1218,2181,230,1700,50,908,12,8253.906817,2946.441531,4112.438918,2196.526199,29.0289806,11942000,4263000,5950000,3178000,42000
I,25F,7ABNB2256,Headwear,비니,7ABNB2256K0001,33000,3500,115500000,87335.91434,CQ251000069,KRW,주식회사 조아니트,2025-10-10,0.687019208,0.622049584,1.400302731,0.157585895,0.993205836,0.03455831,0.555697629,0.007602828,994,900,2026,228,1437,50,804,11,7978.131501,2177.173545,3476.220427,1944.9417,26.60989888,11543000,3150000,5029500,2814000,38500
I,25F,7ABNC0156,Headwear,비니,7ABNC0156K0001,49000,1200,58800000,44461.92003,CQ250502194,KRW,주식회사 조아니트,2025-05-28,0.970397351,0.342127271,2.129483077,0.159659393,1.52056565,0.03455831,0.744386003,0.008293994,1404,495,3081,231,2200,50,1077,12,3952.917758,410.5527256,1824.678781,893.263203,9.952793348,5719200,594000,2640000,1292400,14400
I,25F,7ABNC0156,Headwear,비니,7ABNC0156K0002,49000,1620,79380000,60023.59204,CQ250900911,KRW,주식회사 조아니트,2025-09-25,0.970397351,0.342127271,2.129483077,0.159659393,1.52056565,0.03455831,0.744386003,0.008293994,1404,495,3081,231,2200,50,1077,12,5336.438973,554.2461796,2463.316354,1205.905324,13.43627102,7720920,801900,3564000,1744740,19440
I,25F,7ABNC0256,Headwear,비니,7ABNC0256C0001,59000,1798,106082000,80214.44559,CQ250502386,KRW,주식회사 오짠,2025-05-29,1.033293476,1.969823684,1.174982548,0.157585895,3.200099528,0.03455831,1.106557094,0,1495,2850,1700,228,4630,50,1601,0,4315.955572,3541.742983,5753.778951,1989.589655,0,6244454,5124300,8324740,2878598,0
I,25F,7ABNC0256,Headwear,비니,7ABNC0256K0001,59000,1500,88500000,66919.72657,CQ250502387,KRW,주식회사 오짠,2025-05-29,1.033293476,1.969823684,1.174982548,0.157585895,3.200099528,0.03455831,1.106557094,0,1495,2850,1700,228,4630,50,1601,0,3600.630344,2954.735525,4800.149292,1659.835641,0,5209500,4275000,6945000,2401500,0
I,25F,7ABNC0256,Headwear,비니,7ABNC0256K0002,59000,1000,59000000,44613.15105,CQ251000262,KRW,주식회사 오짠,2025-10-17,1.033293476,1.969823684,1.174982548,0.157585895,3.200099528,0.03455831,1.106557094,0,1495,2850,1700,228,4630,50,1601,0,2400.420229,1969.823684,3200.099528,1106.557094,0,3473000,2850000,4630000,1601000,0
