section,key,value
prev_usd_cost_rate,,18.2
prev_krw_cost_rate,,18.2
usd_title,,USD 기준: 개선 성공
usd_main_change,,▼ 0.8%p 개선
usd_item_1_icon,,🎨
usd_item_1_title,,소재단가 절감
usd_item_1_change,,▼ 0.9%p
usd_item_1_description,,"구스/덕 충전재 80/20, 90/10 믹스 변경으로 규조적 단가 절감 달성. 협상이 아닌 소재 전략 개선이 주된 요인"
usd_item_2_icon,,💼
usd_item_2_title,,벤더마진 축소
usd_item_2_change,,▼ 0.1%p
usd_item_2_description,,거래조건 재설상으로 벤더 마진 –0.1%p 회수. 협상 통계력 회복 및 협상력 강화 효과
usd_item_3_icon,,⚡
usd_item_3_title,,공정 개선 (Inner)
usd_item_3_change,,▼ 0.46 USD
usd_item_3_description,,봉제 단순화로 공임 –0.46 USD 절감. 효율 모델로 검증된 타 카테고리 확산 기반 확보
usd_summary,,"소재 믹스 개선과 공임 효율화로 절감 효과를 달성했으나, 전체 평균 품목 단가 상승이 실질 개선폭 제한"
krw_title,,KRW 기준: 환율에 상쇄
krw_main_change,,▲ 1.0%p 악화
krw_item_1_icon,,💱
krw_item_1_title,,환율 효과
krw_item_1_change,,+1.8%p
krw_item_1_description,,환율 상승(+11%)으로 USD 개선 효과 완전 상쇄. 절감 성과가 실손익에 반영되지 못함.
krw_item_2_icon,,👟
krw_item_2_title,,Outer 비중 확대
krw_item_2_change,,리스크 ↑
krw_item_2_description,,"고공임 제품 비중 59% → 62%로 확대되며 원가율은 상승했으나, 주력 고마진 아이템 중심의 믹스 효과로 매출 기여도 큼"
krw_item_3_icon,,🎀
krw_item_3_title,,공임비 상승(Outer)
krw_item_3_change,,+0.7%p
krw_item_3_description,,Outer 공임 4.3% → 4.9% (+0.7%p). 동계 나이론-고임군 위주 병렬 투입 가더로 강화된 기대
krw_summary,,"소재·공임 효율 개선했으나, 환율과 믹스 구조 변화로 실손익 방어에 제한된 시즌."
action_1,,"Inner 공정개선 모델을 Outer·Bottom으로 확대 적용 (Inner 공임 14.76 → 12.69 USD, △2.07 USD 감소)"
action_2,,"팬츠·우븐류 봉제 난이도 단순화 및 스티칭 축소 → 원부자재 단가 하락에도 공임비 상승으로 평균원가 개선 폭이 제한된 만큼, 공임 0.5~1.0%p 절감 목표로 설계 단순화 추진"
action_3,,다운점퍼 충전재 믹스 최적화(구스→덕 80/20) 사례를 타 브랜드로 수평 전개하여 소재단가 구조 절감 확산
action_4,,공임 비중 KPI 설정 및 고임금 라인 전환 계획 수립 (카테고리별 공임 비중 목표화로 생산지 효율 관리)
risk_1,,Outer·팬츠류 공임 비중 상승 → 봉제 복잡도 및 고임금 라인 투입 증가로 원가율 0.6~1.0%p 악화 가능 → 공정 슬리밍 및 패턴 단순화를 통한 생산성 회복 필요
risk_2,,"환율(1,288→1,420원) 상승 영향으로 KRW 기준 원가율 +0.1%p 담금. USD 기준 원가율 개선 효과가 환율 악화로 상쇄되어 KRW 원가율 +0.9%p 악화."
risk_3,,USD 결제 벤더 환노출 구간 관리 및 환헤지 전략 강화 (재무팀 협업 필요)
success_1,,"정상마진 –0.2%p 하락 (2.0% → 1.8%) → 벤더 마진 회수 성공, 협상력 개선을 통한 구매단가 절감 효과 확인"
success_2,,"충전재 믹스 최적화(구스→덕 80/20)로 소재단가 평균 –4.88 USD 절감 (12.91 → 11.03 USD), 협상이 아닌 조성비 전략 기반 구조적 절감 달성"
success_3,,"Inner 봉제공정 단순화로 공임 –2.07 USD 절감 (14.76 → 12.69 USD), 유일하게 실질 제조 효율이 개선된 카테고리"
success_4,,"USD 기준 전사 원가율 –0.8%p 개선 (18.2% → 17.4%), 협상력 강화 + 공정 효율화 효과가 병행된 구조적 개선 시즌"
message,,"25F 시즌은 구스→덕(80/20) 충전재 믹스 조정과 봉제 공정 단순화를 통해 실질 원가 효율이 개선된 시즌입니다. 벤더 마진을 0.2%p 회수하며 협상력이 강화되었으나, 환율 상승 (1,288→1,420원)과 공임 부담이 수익성을 압박하였습니다. 다음 시즌은 Outer·Bottom 중심으로 공정 슬리밍과 생산지 효율화를 확대하여 원가율을 안정적으로 관리할 필요가 있습니다."
