section,key,value
prev_usd_cost_rate,,22.2
prev_krw_cost_rate,,22.2
usd_title,,USD 기준: 원가율 상승 ⚠️
usd_main_change,,▲ 0.5%p 악화
usd_item_1_icon,,📦
usd_item_1_title,,원부자재 단가 상승
usd_item_1_change,,+0.8%p
usd_item_1_description,,"고가 소재(다운, 기능성 원단 등) 사용 비중 확대로 소재비 비중 14.4% → 15.2%로 상승. 평균원가 $34.12 → $35.11 (+2.9%) 증가했으나 TAG는 $169.33 → $169.84 (+0.3%)로 거의 변화 없어 원가율 악화."
usd_item_2_icon,,🏷️
usd_item_2_title,,공임비 절감
usd_item_2_change,,▼ 0.1%p
usd_item_2_description,,"공임비율 4.5% → 4.4%로 소폭 감소. Inner/Bottom 카테고리에서 봉제 효율화 성과 있으나, Outer(다운류) 공임단가 상승으로 기여도 제한됨."
usd_item_3_icon,,💸
usd_item_3_title,,경비율 절감
usd_item_3_change,,▼ 0.2%p
usd_item_3_description,,아트웍·간접비용 효율화로 경비율 0.9% → 0.7%로 개선. 생산수량 23.4% 증가(134만→166만개)로 고정비 분산 효과.
usd_summary,,"공임·경비 절감 노력에도 불구하고 원부자재 단가 상승(+0.8%p)과 협력사마진/경비 부담이이 누적되며 전사 원가율이 +0.5%p 악화. ""소재단가 통제와 협력사 마진구조 개선이 핵심 과제."""
krw_title,,KRW 기준: 환율로 추가 악화 ⚠️
krw_main_change,,▲ 0.9%p 악화
krw_item_1_icon,,💱
krw_item_1_title,,환율 효과
krw_item_1_change,,+0.9%p
krw_item_1_description,,"환율 1,350 → 1,400원(+3.7%) 상승으로 KRW 기준 추가 부담. 당년 USD 원가율 22.2%에서 당년 KRW 원가율 23.6%로 환율 효과 0.9%p 악화."
krw_item_2_icon,,🔥
krw_item_2_title,,Outer 카테고리 집중 타격
krw_item_2_change,,58% 비중
krw_item_2_description,,"다운점퍼 등 Outer가 전체 생산의 58%를 차지하며, 공임비 비중이 높아(9.17 USD) 환율 변동에 가장 민감. 주력 카테고리의 환노출 관리가 수익성의 핵심."
krw_summary,,원자재 가격 상승과 원화 약세가 동시에 작용하여 원가 경쟁력 약화. 소재 조달 전략 및 환헤지 강화 시급.
action summary,,환율 상승과 원부자재 인상으로 원가율이 동시 압박. 소재·공임·환율 축 중심의 단기 대응이 필요.
action_1,,"소재비 절감: 고가 소재(다운, 기능성 원단 등) 사양 재검토 및 대체소재 전환."
action_2,,공임 효율화: 봉제 자동화·작업공정 단순화로 공임 단가 하락 추진.
action_3,,원가 모니터링: USD/KRW 원가율을 분리 관리해 환율 영향 실시간 추적.
risk summary,,"TAG는 원화 고정이지만 원가는 달러로 움직여, 환율 상승 시 원가율이 직접 악화되는 구조."
risk_1,,"환율 리스크: 1,350→1,400(+3.7%) 상승으로 원가율 +0.8%p 악화. → 환헤지 커버 비율 확대, 기준환율 관리 필요."
risk_2,,"원자재 리스크: 글로벌 소재 단가 상승, 고가 소재 비중 확대(+0.8%p)."
risk_3,,마진 리스크: 협력사 정상마진 확대(2.26→2.34%)로 납품단가 상승 압박 지속.
success sumamry,,25F는 'TAG 원화 고정 구조'에서 환율 영향이 직접적으로 손익에 반영된 시즌. 외부비용 급등기에 원가 방어 체계 고도화가 필요하다.
success_1,,"환율 구조: TAG 원화 고정이므로, 환율 1% 상승 시 원가율 약 +0.25%p 상승. → 헤지·선환계약 등 FX 안정장치 확대 필수."
success_2,,"공급망 구조: 고가 소재 의존도 축소, 소싱 다변화·장기계약화로 원가 안정성 확보."
success_3,,생산 효율: 공임 효율화 성공사례(BOTTOM/INNER) 타군 확산 필요.
message,,"25F 시즌은 원부자재 단가 상승과 원화 약세가 동시에 작용하며 원가율이 USD 기준 +0.5%p, KRW 기준 +0.9%p 악화되었습니다. TAG가 원화로 고정된 구조상, 환율 상승분이 직접 제조원가에 반영되어 수익성 부담이 확대되었습니다. 단기적으로는 소재비 절감·환헤지 강화, 중기적으로는 소싱 다변화와 공임 효율화를 통한 구조적 원가 방어가 필요합니다."
