section,key,value
prev_usd_cost_rate,,23.9
prev_krw_cost_rate,,23.9
usd_title,,USD 기준: TAG 가격 상승으로 원가율 개선 ⚠️
usd_main_change,,▼ 0.5%p 개선
usd_item_1_icon,,🔍
usd_item_1_title,,절감이 아닌 비율 개선
usd_item_1_change,,Price Effect
usd_item_1_description,,"평균원가 USD: 19.90 → 20.91 (+5.1%) 상승. TAG USD: 91.8 → 98.5 (+7.3%) 상승→ 원가 자체는 늘었지만 TAG가 더 크게 오르면서 매출가 효과로 원가율 하락(-0.5%p). 즉, 가격 효과(Price effect)에 의한 원가율 개선, 실제 원가절감효과는 제한적"
usd_item_2_icon,,🔍
usd_item_2_title,,믹스효과 + 평균TAG 상승으로 방어
usd_item_2_change,,Mix Effect
usd_item_2_description,,"Outer 비중↑ (28%→29%), 해당군 원가율 하락(24.5%→23.6%), 고TAG 다운/방한화 판매비중 증가 → 고가제품 믹스효과로 원가율 개선 견인 → 제품 포트폴리오 개선이 원가율 개선의 실질 동인"
usd_summary,,"TAG 상승(+7.3%)과 고가 제품 믹스 개선으로 원가율 개선.단, 실질적인 제조원가 절감은 제한적"
krw_title,,환율·제조원가 동반 상승으로 악화 ⚠️
krw_main_change,,▲ 2.1%p 악화
krw_item_1_icon,,💱
krw_item_1_title,,환율 효과
krw_item_1_change,,+2.1%p
krw_item_1_description,,"환율 상승(+9.4%, 1,321원→1,446원)으로 USD 기준 효과 상쇄 상실. 절감 성과가 실손익 반영되지 못함"
krw_item_2_icon,,🧥
krw_item_2_title,,제조원가 상승
krw_item_2_change,,평균단가 +5.1%
krw_item_2_description,,"평균원가 19.90→20.91 USD (+5.1%). 공임단가 +13.4% (4.71→5.34). 아트웍단가 +31.7% (1.04→1.37). 원부자재단가 거의 변동 없음 (11.37→11.33) → 제조단가 측면에서는 실질적 절감 없음, 오히려 가공·디자인 복잡도 상승 영향"
krw_summary,,"TAG 상승으로 USD 원가율은 개선되었으나, 공임·아트웍 급등으로 실질 제조원가 +5.5% 상승. 여기에 환율 상승(+2.2%p)까지 더해져 수익성 악화"
action_1,,"공임 효율화 강화 → 봉제공정 단순화, 효율 공장 물량 축소. 26F 시즌부터 공임단가 상승분(5.35 USD/pcs)을 최소화해야 환율 리스크 완충 가능"
action_2,,소재 사양 및 디자인 단순화 → 복잡 아트웍·트리밍·부자재 구조를 단순화하여 실제 단가 절감형 원가절감효과 창출 필요
risk_1,,"TAG 의존 구조의 취약성 → 원가율 개선이 TAG 인상 효과에 의존하고 있어, 환율 상승·할인율 확대 시 즉각적인 원가율 악화 리스크 존재"
risk_2,,카테고리별 가격 전가력 차이 → 특히 Inner / Bottom류는 소비자 가격 민감도가 높아 원가 상승분을 TAG에 전가하기 어려워 세밀한 원가관리 필요
success_1,,"원가율 개선 배경 (USD 기준) 평균단가 상승(19.90 → 20.99, +5.5%)에도 불구하고 원가율 23.88% → 23.38%(–0.5%p) 개선. 이는 TAG 인상(91.7 → 98.8, +7.7%)과 고TAG 제품 믹스 확대로 인한 비율상 개선효과이며, 실질적인 원가 절감은 제한적임"
success_2,,"실질 원가 상승 압력 공임·아트웍 단가 상승 압력 지속 (공임 +13.6%, 아트웍 +32.7%)으로, 단위당 원가 자체는 오히려 상승. 단, Outer·다운류 등 고TAG군 비중 확대(28% → 30%)로 전체 원가율 방어에 성공"
message,,"25F 시즌은 TAG 상승(+7.3%)과 Outer 비중 28%→30%(고가제품)을 통해 원가율을 개선한 시즌입니다. 그러나 실질 제조원가는 +5.5% 상승했으며, 특히 공임단가 (4.71→5.35, +13.6%), 아트웍(1.04→1.38, +32.7%)이 급등했습니다. USD 기준 23.9% → 23.4%로 개선되었으나, 환율 상승으로 KRW 기준은 25.5%로 상승했습니다.다음 시즌은 가격 효과 의존도를 줄이고, 공임·아트웍 등 실질 제조원가 절감에 집중하여 지속 가능한 수익성을 확보해야 합니다"
metrics_title,,"핵심 성과: 생산수량 87.9% 감소, TAG +7.3% 상승으로 생산단가 +5.1% 증가에도 USD 원가율 0.5%p 개선"
metrics_volume,,생산수량 66.6만개 → 58.5만개 (87.9%) 감소. 시장 축소 또는 전략적 물량 조정으로 추정됨
metrics_tag,,평균TAG $6.74 상승(+7.3%)으로 원가율 방어. TAG 상승 전략이 원가 인상 압력을 상쇄하여 USD 원가율 0.5%p 개선 달성. 원가M/U 4.18→4.27 (+0.09)로 수익성 개선됨
metrics_fx,,환율 +9.4% 상승(1321.46→1445.55원)으로 KRW 기준 생산단가 +14.9% 급증. USD 기준 원가율 개선 효과가 환율 악화로 상쇄되어 KRW 원가율 +1.6%p 악화
metrics_conclusion,,"KIDS는 물량 감소(-12.1%)에도 TAG 인상 전략(+7.3%)으로 USD 기준 원가율을 개선했으나, 환율 급등(+9.4%)으로 KRW 실손익은 압박받는 구조. 물량 회복과 환헤지 전략이 핵심 과제"
