section,key,value
prev_usd_cost_rate,,17.1
prev_krw_cost_rate,,17.1
usd_title,,USD 기준: 개선 성공
usd_main_change,,▼ 1.1%p 개선
usd_item_1_icon,,🎨
usd_item_1_title,,원부자재 효율화
usd_item_1_change,,▼ 0.2%p
usd_item_1_description,,"원부자재 단가 8.9% → 8.7%, 대량생산(758만개) 체제 전환으로 규모의 경제 달성 및 협상력 강화"
usd_item_2_icon,,💼
usd_item_2_title,,마진율 최적화
usd_item_2_change,,▼ 0.2%p
usd_item_2_description,,"벤더 마진 1.5% → 1.3%, 생산량 증가(+170.8%)로 공급망 단가 협상 구조 개선"
usd_item_3_icon,,⚡
usd_item_3_title,,경비율 절감
usd_item_3_change,,▼ 0.6%p
usd_item_3_description,,물량 증가에 따른 고정비 분산 효과 및 물류적 운영으로 경비율 1.0% → 0.4% 축소
usd_item_4_icon,,✨
usd_item_4_title,,TAG 상승률 통한 생산단가 방어
usd_item_4_change,,
usd_item_4_description,,"생산단가 $8.00 → $9.24(+15.5%) 상승에도 TAG +23.2% 증 상세, 고가품 믹스 효과로 원 가율 방어"
usd_summary,,TAG 상승과 원가 절감의 동시효과로 USD 기준 원가율 –1.1%p 개선. 생산단가 인상 압력 속에서도 가격 믹스 전략으로 구조적 개선 달성
krw_title,,KRW 기준: 환율에 상쇄
krw_main_change,,▲ 0.4%p 악화
krw_item_1_icon,,💱
krw_item_1_title,,환율 효과
krw_item_1_change,,▲1.5%p
krw_item_1_description,,"환율 1,288원 → 1,420원(+10.2%)으로 USD 개선 효과 상쇄. 실질 절감 노력에도 KRW 환산 시 개선 제한"
krw_item_2_icon,,👟
krw_item_2_title,,Shoes 카테고리 집중
krw_item_2_change,,리스크
krw_item_2_description,,"Shoes 원가율 18.8% → 16.8% 개선, 하지만 환율 상승으로 KRW 실적 반영 시 이익 전환 제한"
krw_item_3_icon,,📊
krw_item_3_title,,생산단가 상승 영향
krw_item_3_change,,+15.5%
krw_item_3_description,,"단가 +15.5% 상승으로 원화 환가 부담 확대, TAG 효과는 달러 상쇄에 그침"
krw_item_4_icon,,✨
krw_item_4_title,,제품 믹스 효과로 원부자재 평균단가 상승
krw_item_4_change,,
krw_item_4_description,,"카테고리별 단가는 대부분 하락했으나, 고단가(신발·가방) 비중 확대로 전체 평균단가는 상승. 카단가(제조혁신 영향) 비중 축소 결정이 큼"
krw_summary,,"USD 기준으로 +TAG 효과로 원가율이 개선되나, 환율 상승(+10.2%)이 KRW 실손 이익을 잠식하여 +1.5%p 악화. 환율 환율 리스크 관리 및 환헤 단가 협상력 강화 필요. 혁심 과제"
action_1,,"원부자재+아트웍 변동이 -0.2%p 감소한 만큼, 벤더 마진 회수 및 소재 믹스 최적화를 통해 원가율을 개선시키는 방향으로 진행해야 합니다. 목표는 원부자재+아트웍 변동을 0.5%p로 회복하는 것입니다."
action_2,,"공임 변동이 0.1%p 상승한 만큼, 공정 슬리밍을 통해 공임비를 절감해야 합니다. Inner 공정개선 모델을 Outer·Bottom으로 확대 적용하여 공임 0.5~1.0%p 절감을 목표로 합니다."
action_3,,"환율 효과로 인해 원가율이 0.8%p 상승했습니다. 환율 리스크 관리를 강화하고 효율적인 원화 결제 방법을 모색하며, 이를 통해 환율 효과를 최소화하는 것을 목표로 합니다."
action_4,,경비 변동이 0.2%p 상승했습니다. 비용 절감을 위해 내부 프로세스 개선 및 효율적인 자원 배치를 진행하여 경비를 0.5%p 절감하는 것을 목표로 합니다.
risk_1,,"환율 효과로 인한 원가율 상승: 25SS에서 환율 효과가 0.8%p로 상승하였음. 이는 환율 리스크에 대한 관리가 필요함을 나타내며, 환율의 변동성이 원가율에 직접적인 영향을 미치므로, 환율 관리 방안을 마련하는 것이 필요함"
risk_2,,"원부자재와 아트웍 변동에 따른 원가율 하락: 원부자재와 아트웍 변동이 -0.2%p로 원가율이 하락하였음. 이는 원자재 리스크로, 원부자재 가격의 변동이 원가율에 영향을 미칠 수 있음. 원부자재 가격의 변동을 예측하고 대응할 수 있는 전략이 필요함"
risk_3,,"공임 변동에 따른 원가율 상승: 공임 변동이 0.1%p로 원가율이 상승하였음. 이는 공급망 리스크로, 공임 비용의 상승이 원가율에 영향을 미칠 수 있음. 공임 비용 관리와 효율적인 공급망 관리 전략이 필요함"
risk_4,,"카테고리 불균형 심화 → 특정 카테고리(Headwear, Bag 등) 고성장하나 일부는 정체. 믹스 변동 시 전체 원가율 불안정성 증가"
success_1,,24SS에서 25SS로의 USD 원가율이 17.4%에서 17.6%로 소폭 증가했습니다. 이는 공임 변동과 마진 변동에 대한 비율상 개선 효과 때문으로 보입니다.
success_2,,"25SS의 KRW 원가율이 18.4%로, USD 원가율 대비 0.8%p 상승했습니다. 이는 주로 환율 효과에 의한 결과로, 실질적인 원가 절감이 아닌 환율 변동에 따른 비율상 개선입니다."
success_3,,"원부자재와 아트웍 변동이 -0.2%p로, 원가 절감에 기여한 것으로 보입니다. 이는 소재 믹스 최적화와 벤더 마진 회수를 통한 규조적 단가 절감에 기인한 것으로 판단됩니다."
success_4,,경비 변동이 0.2%p 상승한 것은 관리 효율 개선이 필요함을 보여줍니다. 이는 효율적인 경비 관리 및 비용 절감 전략을 통해 개선할 수 있을 것입니다.
message,,"NON 시즌은 대량생산(+170.8%)과 TAG 전략적 상승(+23.2%)으로 생산단가 급등(+15.5%)에도 USD 원가율 -1.1%p 개선을 달성한 시즌입니다. 규모의 경제와 고가 믹스 전략이 성공적으로 작용했으나, 환율 상승(+9.1%)으로 KRW 기준 실손익 개선폭은 제한되었습니다. 차기 시즌은 TAG 의존도를 낮추고 실질 제조원가 절감(소재비, 공임비)에 집중하여 환율 변동에도 안정적인 수익 구조를 확보해야 합니다."
metrics_title,,"핵심 성과: 생산수량 170.8% 증가, TAG +110.5% 상승으로 생산단가 +15.5% 증가에도 USD 원가율 1.1%p 개선"
metrics_volume,,생산수량 444.2만개 → 758.8만개 (+170.8%) 증가로 스케일 메리트 확보. 총판매가는 110.5% 증가하여 고가 제품 믹스 확대 전략 확인됨
metrics_tag,,평균TAG $11.97 상승(+23.2%)으로 원가율 1.1%p 개선 달성. 원가M/U 5.85→6.25 (+0.40)로 수익성 개선됨
metrics_fx,,환율 +9.1% 상승(1296.77→1415.00원)으로 KRW 기준 생산단가 +26.1% 급증. USD 기준 원가율 개선 효과가 환율 악화로 상쇄되어 KRW 원가율 +0.4%p 악화
metrics_conclusion,,"MLB NON은 대량생산(+170.8%)과 고가 믹스 전략으로 USD 기준 원가율을 방어했으나, 생산단가 인상(+15.5%)과 환율 급등(+9.1%)으로 KRW 실손익은 압박받는 구조. 향후 생산단가 절감이 핵심 과제"
